,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
24,Doug Edwards,1994,1996,F,6-7	,220,"January 21, 1971",Florida State University
25,Franklin Edwards,1982,1988,G,6-1	,170,"February 2, 1959",Cleveland State University
26,James Edwards,1978,1996,C-F,7-0	,225,"November 22, 1955",University of Washington
27,Jay Edwards,1990,1990,G,6-4	,185,"January 3, 1969",Indiana University
28,John Edwards,2005,2006,C,7-0	,275,"July 31, 1981",Kent State University
29,Kevin Edwards,1989,2001,G,6-3	,190,"October 30, 1965",DePaul University
30,Shane Edwards,2014,2014,F,6-7	,220,"May 31, 1987",University of Arkansas at Little Rock
31,Johnny Egan,1962,1972,G,5-11	,180,"January 31, 1939",Providence College
32,Lonnie Eggleston,1949,1949,G,6-0	,170,"June 8, 1918",Oklahoma State University
33,Bulbs Ehlers,1948,1949,F-G,6-3	,198,"March 10, 1923",Purdue University
34,Craig Ehlo,1984,1997,G-F,6-6	,180,"August 11, 1961",Washington State University
35,Rich Eichhorst,1962,1962,G,6-3	,200,"October 21, 1933",Southeast Missouri State University
36,Howard Eisley,1995,2006,G,6-2	,177,"December 4, 1972",Boston College
37,Obinna Ekezie,2000,2005,F-C,6-9	,270,"August 22, 1975",University of Maryland
38,Khalid El-Amin,2001,2001,G,5-10	,200,"April 25, 1979",University of Connecticut
39,Don Eliason,1947,1947,F,6-2	,210,"July 24, 1918",Hamline University
40,Mario Elie,1991,2001,G-F,6-5	,210,"November 26, 1963",American International College
41,Ray Ellefson,1949,1951,C,6-8	,230,"November 18, 1922",West Texas A&M University
42,Henry Ellenson,2017,2018,F,6-11	,245,"January 13, 1997",Marquette University
43,Wayne Ellington,2010,2018,G,6-4	,200,"October 29, 1987",University of North Carolina
44,Bob Elliott,1979,1981,C-F,6-9	,225,"August 18, 1955",University of Arizona
45,Sean Elliott,1990,2001,F,6-8	,205,"February 2, 1968",University of Arizona
46,Bo Ellis,1978,1980,F,6-9	,197,"August 8, 1954",Marquette University
47,Boo Ellis,1959,1960,F,6-5	,185,"February 11, 1936",Niagara University
48,Dale Ellis,1984,2000,G-F,6-7	,205,"August 6, 1960",University of Tennessee
49,Harold Ellis,1994,1998,G,6-5	,200,"October 7, 1970",Morehouse College
50,Joe Ellis,1967,1974,F-G,6-6	,175,"May 3, 1944",University of San Francisco
51,LaPhonso Ellis,1993,2003,F,6-8	,240,"May 5, 1970",University of Notre Dame
52,LeRon Ellis,1992,1996,F-C,6-9	,225,"April 28, 1969","University of Kentucky, Syracuse University"
53,Leroy Ellis,1963,1976,C-F,6-10	,210,"March 10, 1940",St. John's University
54,Monta Ellis,2006,2017,G,6-3	,185,"October 26, 1985",
55,Pervis Ellison,1990,2001,F-C,6-9	,210,"April 3, 1967",University of Louisville
56,Len Elmore,1975,1984,C-F,6-9	,220,"March 28, 1952",University of Maryland
57,Francisco Elson,2004,2012,C,7-0	,235,"February 28, 1976",University of California
58,Darrell Elston,1975,1977,G,6-4	,190,"August 15, 1952",University of North Carolina
59,Melvin Ely,2003,2014,C,6-10	,260,"May 2, 1978","California State University, Fresno"
60,Joel Embiid,2017,2018,C,7-0	,250,"March 16, 1994",University of Kansas
61,Wayne Embry*,1959,1969,C-F,6-8	,240,"March 26, 1937",Miami University
62,Andre Emmett,2005,2012,F,6-5	,230,"August 27, 1982",Texas Tech University
63,Ned Endress,1947,1947,F-G,6-2	,200,"March 2, 1918",University of Akron
64,Chris Engler,1983,1988,C,6-11	,245,"March 1, 1959","University of Minnesota, University of Wyoming"
65,Wayne Englestad,1989,1989,F,6-8	,245,"December 6, 1966","University of California, Irvine"
66,A.J. English,1991,1992,G,6-3	,175,"July 11, 1967",Virginia Union University
67,Alex English*,1977,1991,F,6-7	,190,"January 5, 1954",University of South Carolina
68,Claude English,1971,1971,F,6-4	,185,"December 26, 1946",University of Rhode Island
69,Jo Jo English,1993,1995,G,6-4	,195,"February 4, 1970",University of South Carolina
70,Kim English,2013,2013,G,6-6	,200,"September 24, 1988",University of Missouri
71,Scott English,1973,1975,F,6-6	,205,"October 20, 1950",University of Texas at El Paso
72,Gene Englund,1950,1950,F-C,6-5	,205,"October 21, 1917",University of Wisconsin
73,James Ennis,2015,2018,F,6-7	,210,"July 1, 1990","California State University, Long Beach"
74,Tyler Ennis,2015,2018,G,6-3	,194,"August 24, 1994",Syracuse University
75,Ray Epps,1979,1979,F,6-6	,195,"August 20, 1956",Norfolk State University
76,Semih Erden,2011,2012,C,7-0	,240,"July 28, 1986",
77,Bo Erias,1958,1958,F,6-3	,220,"July 30, 1932",Niagara University
78,Keith Erickson,1966,1977,F-G,6-5	,195,"April 19, 1944","University of California, Los Angeles"
79,Julius Erving*,1972,1987,F-G,6-7	,210,"February 22, 1950",University of Massachusetts Amherst
80,Evan Eschmeyer,2000,2003,C,6-11	,255,"May 30, 1975",Northwestern University
81,Jack Eskridge,1949,1949,C-F,6-5	,200,"January 21, 1924",University of Kansas
82,Vincenzo Esposito,1996,1996,G,6-3	,198,"January 3, 1969",
83,Billy Evans,1970,1970,G,6-0	,170,"March 3, 1947",Boston College
84,Bob Evans,1950,1950,G,6-2	,175,"May 31, 1925",Butler University
85,Brian Evans,1997,1999,F,6-8	,220,"September 13, 1973",Indiana University
86,Earl Evans,1980,1980,F,6-8	,202,"November 11, 1955","University of Southern California, University of Nevada, Las Vegas"
87,Jawun Evans,2018,2018,G,6-0	,185,"July 26, 1996",Oklahoma State University
88,Jeremy Evans,2011,2018,F,6-9	,200,"October 24, 1987",Western Kentucky University
89,Maurice Evans,2002,2012,G,6-5	,220,"November 8, 1978","Wichita State University, University of Texas at Austin"
90,Mike Evans,1980,1988,G,6-1	,170,"April 19, 1955",Kansas State University
91,Reggie Evans,2003,2015,F,6-8	,245,"May 18, 1980",University of Iowa
92,Tyreke Evans,2010,2018,G-F,6-6	,220,"September 19, 1989",University of Memphis
93,Daniel Ewing,2006,2007,G,6-3	,185,"March 26, 1983",Duke University
94,Patrick Ewing*,1986,2002,C-F,7-0	,240,"August 5, 1962",Georgetown University
95,Patrick Ewing,2011,2011,F,6-8	,235,"May 20, 1984","Indiana University, Georgetown University"
96,Dante Exum,2015,2018,G,6-6	,190,"July 13, 1995",
97,Christian Eyenga,2011,2012,F,6-5	,210,"June 22, 1989",
98,Festus Ezeli,2013,2016,C,6-11	,255,"October 21, 1989",Vanderbilt University
99,Johnny Ezersky,1948,1950,F-G,6-3	,175,"March 21, 1922",University of Rhode Island
