,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Zan Tabak,1995,2001,C,7-0	,245,"June 15, 1970",
26,Tyshawn Taylor,2013,2014,G,6-3	,185,"April 12, 1990",University of Kansas
27,Vince Taylor,1983,1983,G-F,6-5	,180,"September 11, 1960",Duke University
28,Terry Teagle,1983,1993,F-G,6-5	,195,"April 10, 1960",Baylor University
29,Jeff Teague,2010,2018,G,6-2	,186,"June 10, 1988",Wake Forest University
30,Marquis Teague,2013,2018,G,6-2	,189,"February 28, 1993",University of Kentucky
31,Mirza Teletovic,2013,2018,F,6-9	,242,"September 18, 1985",
32,Sebastian Telfair,2005,2015,G,6-0	,165,"June 9, 1985",
33,Collis Temple,1975,1975,F,6-8	,220,"November 8, 1952",Louisiana State University
34,Garrett Temple,2010,2018,G,6-6	,195,"May 8, 1986",Louisiana State University
35,Milos Teodosic,2018,2018,G,6-5	,196,"March 19, 1987",
36,Ira Terrell,1977,1979,F-C,6-8	,200,"June 19, 1954",Southern Methodist University
37,Carlos Terry,1981,1983,G-F,6-5	,210,"June 22, 1956",Winston-Salem State University
38,Chuck Terry,1973,1977,F,6-6	,215,"September 27, 1950","California State University, Long Beach"
39,Claude Terry,1973,1978,G-F,6-4	,195,"January 12, 1950",Stanford University
40,Jason Terry,2000,2018,G,6-2	,185,"September 15, 1977",University of Arizona
41,Hasheem Thabeet,2010,2014,C,7-3	,263,"February 16, 1987",University of Connecticut
42,Tom Thacker,1964,1971,G-F,6-2	,170,"November 2, 1939",University of Cincinnati
43,Floyd Theard,1970,1970,G,6-1	,170,"September 5, 1944",Kentucky State University
44,Daniel Theis,2018,2018,C,6-9	,215,"April 4, 1992",
45,Reggie Theus,1979,1991,G,6-7	,190,"October 13, 1957","University of Nevada, Las Vegas"
46,Peter Thibeaux,1985,1986,F,6-7	,210,"October 3, 1961",Saint Mary's College of California
47,Bill Thieben,1957,1958,F-C,6-7	,215,"March 28, 1935",Hofstra University
48,Justus Thigpen,1970,1974,G,6-1	,160,"August 13, 1947",Weber State University
49,David Thirdkill,1983,1987,F-G,6-7	,195,"April 12, 1960",Bradley University
50,Adonis Thomas,2014,2014,F,6-7	,200,"March 25, 1993","University of North Carolina, University of Memphis"
51,Billy Thomas,2005,2008,G,6-4	,208,"December 23, 1975",University of Kansas
52,Carl Thomas,1992,1998,G,6-4	,175,"October 3, 1969",Eastern Michigan University
53,Charles Thomas,1992,1992,G,6-3	,175,"October 3, 1969",Eastern Michigan University
54,Etan Thomas,2002,2011,F,6-9	,256,"April 1, 1978",Syracuse University
55,Irving Thomas,1991,1991,F,6-8	,225,"January 2, 1966","University of Kentucky, Florida State University"
56,Isaiah Thomas,2012,2018,G,5-9	,185,"February 7, 1989",University of Washington
57,Isiah Thomas*,1982,1994,G,6-1	,180,"April 30, 1961",Indiana University
58,Jamel Thomas,2000,2001,F,6-6	,215,"March 25, 1973",Providence College
59,James Thomas,2005,2006,F,6-8	,235,"November 22, 1980",University of Texas at Austin
60,Jim Thomas,1984,1991,G,6-3	,190,"October 19, 1960",Indiana University
61,Joe Thomas,1971,1971,F,6-6	,205,"March 9, 1948",Marquette University
62,John Thomas,1998,2006,F,6-9	,265,"September 8, 1975",University of Minnesota
63,Kenny Thomas,2000,2010,F,6-7	,261,"July 25, 1977",University of New Mexico
64,Kurt Thomas,1996,2013,F,6-9	,230,"October 4, 1972",Texas Christian University
65,Lance Thomas,2012,2018,F,6-8	,235,"April 24, 1988",Duke University
66,Malcolm Thomas,2012,2015,F,6-9	,225,"November 8, 1988","Pepperdine University, San Diego State University"
67,Ronald Thomas,1973,1976,F,6-6	,215,"November 19, 1950",University of Louisville
68,Terry Thomas,1976,1976,F,6-8	,220,"August 20, 1953",University of Detroit Mercy
69,Tim Thomas,1998,2010,F,6-10	,230,"February 26, 1977",Villanova University
70,Tyrus Thomas,2007,2015,F,6-9	,215,"August 17, 1986",Louisiana State University
71,Willis Thomas,1968,1968,G,6-2	,185,,Tennessee State University
72,Trey Thompkins,2012,2012,F,6-10	,245,"May 20, 1990",University of Georgia
73,Bernard Thompson,1985,1989,F-G,6-6	,210,"August 30, 1962","California State University, Fresno"
74,Billy Thompson,1987,1992,F,6-7	,195,"December 1, 1963",University of Louisville
75,Brooks Thompson,1995,1998,G,6-4	,193,"July 19, 1970","Texas A&M University, Oklahoma State University"
76,Corny Thompson,1983,1983,F,6-8	,225,"February 5, 1960",University of Connecticut
77,David Thompson*,1976,1984,G-F,6-4	,195,"July 13, 1954",North Carolina State University
78,Dijon Thompson,2006,2007,G-F,6-7	,195,"February 23, 1983","University of California, Los Angeles"
79,George Thompson,1970,1975,G,6-2	,200,"November 29, 1947",Marquette University
80,Hollis Thompson,2014,2017,G-F,6-8	,206,"April 3, 1991",Georgetown University
81,Jack Thompson,1969,1969,G,6-1	,185,"March 26, 1946",University of South Carolina
82,Jason Thompson,2009,2016,F-C,6-11	,250,"July 21, 1986",Rider University
83,John Thompson*,1965,1966,F,6-10	,225,"September 2, 1941",Providence College
84,Kevin Thompson,1994,1994,C-F,6-11	,260,"February 7, 1971",North Carolina State University
85,Klay Thompson,2012,2018,G-F,6-7	,215,"February 8, 1990",Washington State University
86,LaSalle Thompson,1983,1997,C-F,6-10	,245,"June 23, 1961",University of Texas at Austin
87,Mychal Thompson,1979,1991,C-F,6-10	,226,"January 30, 1955",University of Minnesota
88,Mychel Thompson,2012,2012,G,6-6	,211,"June 1, 1988",Pepperdine University
89,Paul Thompson,1984,1986,G-F,6-6	,210,"May 25, 1961",Tulane University
90,Stephen Thompson,1992,1992,G,6-4	,185,"December 2, 1968",Syracuse University
91,Tristan Thompson,2012,2018,F-C,6-9	,238,"March 13, 1991",University of Texas at Austin
92,Skip Thoren,1968,1970,C,6-10	,230,"April 5, 1943",University of Illinois at Urbana-Champaign
93,Rod Thorn*,1964,1971,G,6-4	,195,"May 23, 1941",West Virginia University
94,Al Thornton,2008,2011,F,6-8	,220,"December 7, 1983",Florida State University
95,Bob Thornton,1986,1996,F-C,6-10	,225,"July 10, 1962","University of California, Irvine"
96,Dallas Thornton,1969,1970,G,6-4	,190,"September 1, 1946",Kentucky Wesleyan College
97,Marcus Thornton,2010,2017,G,6-4	,205,"June 5, 1987",Louisiana State University
98,Sindarius Thornwell,2018,2018,G,6-5	,212,"November 15, 1994",University of South Carolina
99,Otis Thorpe,1985,2001,F-C,6-9	,225,"August 5, 1962",Providence College
100,Sedale Threatt,1984,1997,G,6-2	,175,"September 10, 1961",West Virginia University Institute of Technology
101,Nate Thurmond*,1964,1977,C-F,6-11	,225,"July 25, 1941",Bowling Green State University
102,Mel Thurston,1948,1948,G,6-0	,175,"January 16, 1919",Canisius College
103,Hal Tidrick,1949,1949,F-G,6-1	,190,"August 4, 1915",Washington & Jefferson College
104,Dan Tieman,1963,1963,G,6-0	,185,"November 30, 1940",Thomas More College
105,Darren Tillis,1983,1984,C-F,6-11	,215,"February 23, 1960",Cleveland State University
106,Jack Tingle,1948,1949,F,6-4	,205,"December 30, 1924",University of Kentucky
107,George Tinsley,1970,1972,F,6-5	,205,"September 19, 1946",Kentucky Wesleyan College
108,Jamaal Tinsley,2002,2014,G,6-3	,195,"February 28, 1978",Iowa State University
109,Wayman Tisdale,1986,1997,F-C,6-9	,240,"June 9, 1964",University of Oklahoma
110,Mike Tobey,2017,2017,C,7-0	,260,"October 10, 1994",University of Virginia
111,Mike Todorovich,1950,1951,F-C,6-5	,220,"June 11, 1923",University of Wyoming
112,Ray Tolbert,1982,1989,F,6-9	,225,"September 10, 1958",Indiana University
113,Tom Tolbert,1989,1995,F-C,6-7	,235,"October 16, 1965","University of California, Irvine, University of Arizona"
114,Anthony Tolliver,2009,2018,F-C,6-8	,240,"June 1, 1985",Creighton University
115,Dean Tolson,1975,1978,F,6-8	,190,"November 25, 1951",University of Arkansas
116,Rudy Tomjanovich,1971,1981,F,6-8	,218,"November 24, 1948",University of Michigan
117,Andrew Toney,1981,1988,G,6-3	,178,"November 23, 1957",University of Louisiana at Lafayette
118,Sedric Toney,1986,1994,G,6-2	,178,"April 13, 1962",University of Dayton
119,Andy Tonkovich,1949,1949,G,6-1	,185,"November 1, 1922",Marshall University
120,Andy Toolson,1991,1996,G-F,6-6	,210,"January 19, 1966",Brigham Young University
121,Jack Toomay,1948,1950,C-F,6-6	,215,"August 9, 1922",University of the Pacific
122,Bernard Toone,1980,1980,F,6-9	,210,"July 14, 1956",Marquette University
123,Irv Torgoff,1947,1949,F,6-2	,192,"March 6, 1917",Long Island University
124,Gene Tormohlen,1963,1970,C-F,6-8	,230,"May 12, 1937",University of Tennessee
125,Oscar Torres,2002,2003,F,6-6	,210,"December 18, 1976",
126,Bill Tosheff,1952,1954,G,6-1	,175,"June 2, 1926",Indiana University
127,Bob Tough,1949,1950,G-F,6-0	,185,"August 28, 1920",St. John's University
128,Axel Toupane,2016,2017,G-F,6-7	,197,"July 23, 1992",
129,Monte Towe,1976,1977,G,5-7	,150,"September 27, 1953",North Carolina State University
130,Keith Tower,1994,1997,C-F,6-11	,250,"May 15, 1970",University of Notre Dame
131,Blackie Towery,1949,1950,F-C,6-4	,210,"June 20, 1920",Western Kentucky University
132,Linton Townes,1983,1985,F-G,6-7	,190,"November 30, 1959",James Madison University
133,Karl-Anthony Towns,2016,2018,C-F,7-0	,244,"November 15, 1995",University of Kentucky
134,Raymond Townsend,1979,1982,G,6-3	,175,"December 20, 1955","University of California, Los Angeles"
135,George Trapp,1972,1977,F-C,6-8	,205,"July 11, 1948","California State University, Long Beach"
136,John Trapp,1969,1973,F,6-7	,210,"October 2, 1945","University of Nevada, Las Vegas"
137,Robert Traylor,1999,2005,F,6-8	,284,"February 1, 1977",University of Michigan
138,Gary Trent,1996,2004,F,6-8	,250,"September 22, 1974",Ohio University
139,Jeff Trepagnier,2002,2004,G,6-4	,200,"July 11, 1979",University of Southern California
140,John Tresvant,1965,1973,F-C,6-7	,215,"November 6, 1939",Seattle University
141,Dick Triptow,1949,1950,G-F,6-0	,170,"November 3, 1922",DePaul University
142,Kelly Tripucka,1982,1991,F-G,6-6	,220,"February 16, 1959",University of Notre Dame
143,Ansley Truitt,1973,1973,C,6-9	,215,"August 24, 1950",University of California
144,Cezary Trybanski,2003,2004,C,7-2	,240,"September 22, 1979",
145,Jake Tsakalidis,2001,2007,C,7-2	,285,"June 10, 1979",
146,John Tschogl,1973,1975,F,6-6	,206,"April 25, 1950","University of California, Santa Barbara"
147,Lou Tsioropoulos,1957,1959,F,6-5	,190,"August 31, 1930",University of Kentucky
148,Nikoloz Tskitishvili,2003,2006,F,7-0	,225,"April 14, 1983",
149,Al Tucker,1968,1972,F,6-8	,190,"February 24, 1943",Oklahoma Baptist University
150,Alando Tucker,2008,2010,F,6-6	,205,"February 11, 1984",University of Wisconsin
151,Anthony Tucker,1995,1995,F,6-8	,220,"April 4, 1969","Georgetown University, Wake Forest University"
152,Jim Tucker,1955,1957,F,6-7	,185,"December 11, 1932",Duquesne University
153,P.J. Tucker,2007,2018,F,6-6	,245,"May 5, 1985",University of Texas at Austin
154,Trent Tucker,1983,1993,G,6-5	,193,"December 20, 1959",University of Minnesota
155,Ronny Turiaf,2006,2015,F,6-10	,249,"January 13, 1983",Gonzaga University
156,Mirsad Turkcan,2000,2000,F,6-9	,236,"June 7, 1976",
157,Hedo Turkoglu,2001,2015,F,6-10	,220,"March 19, 1979",
158,Andre Turner,1987,1992,G,5-11	,160,"December 13, 1964",University of Memphis
159,Bill Turner,1968,1973,F,6-7	,220,"February 18, 1944",University of Akron
160,Elston Turner,1982,1989,G-F,6-5	,190,"June 10, 1959",University of Mississippi
161,Evan Turner,2011,2018,G,6-7	,220,"October 27, 1988",Ohio State University
162,Gary Turner,1968,1968,F,6-7	,200,,Texas Christian University
163,Henry Turner,1990,1995,G-F,6-7	,200,"August 18, 1966","California State University, Fullerton"
164,Herschell Turner,1968,1968,G,6-2	,195,"March 29, 1938",University of Nebraska
165,Jack Turner,1955,1955,F-G,6-4	,170,"June 29, 1930",Western Kentucky University
166,Jack Turner,1962,1962,G-F,6-5	,200,"June 5, 1939",University of Louisville
167,Jeff Turner,1985,1996,F-C,6-9	,230,"April 9, 1962",Vanderbilt University
168,John Turner,1992,1992,F,6-8	,245,"November 30, 1967","Georgetown University, Phillips University"
169,Myles Turner,2016,2018,C-F,6-11	,243,"March 24, 1996",University of Texas at Austin
170,Wayne Turner,2000,2000,G,6-2	,190,"March 22, 1976",University of Kentucky
171,Melvin Turpin,1985,1990,C,6-11	,240,"December 28, 1960",University of Kentucky
172,Dave Twardzik,1973,1980,G,6-1	,175,"September 20, 1950",Old Dominion University
173,Jack Twyman*,1956,1966,F-G,6-6	,210,"May 11, 1934",University of Cincinnati
174,B.J. Tyler,1995,1995,G,6-1	,185,"April 30, 1971","DePaul University, University of Texas at Austin"
175,Jeremy Tyler,2012,2014,C,6-10	,260,"June 21, 1991",
176,Terry Tyler,1979,1989,F-G,6-7	,215,"October 30, 1956",University of Detroit Mercy
177,Charlie Tyra,1958,1962,C-F,6-8	,230,"August 16, 1935",University of Louisville
