,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
0,Zarko Cabarkapa,2004,2006,F,6-11	,235,"May 21, 1981",
29,Howie Carl,1962,1962,G,5-9	,160,"June 7, 1938",DePaul University
30,Chet Carlisle,1947,1947,F-C,6-5	,195,"November 2, 1916",University of California
31,Geno Carlisle,2005,2005,G,6-3	,180,"August 13, 1976","Northwestern University, University of California"
32,Rick Carlisle,1985,1990,G,6-5	,210,"October 27, 1959","University of Maine, University of Virginia"
33,Don Carlos,1969,1969,G-F,6-5	,210,"March 3, 1944",Otterbein College
34,Al Carlson,1976,1976,C,6-11	,235,"September 17, 1951",University of Oregon
35,Don Carlson,1947,1951,G-F,6-0	,170,"March 22, 1919",University of Minnesota
36,Bob Carney,1955,1955,G,6-3	,170,"August 3, 1932",Bradley University
37,Rodney Carney,2007,2011,F,6-7	,205,"April 15, 1984",University of Memphis
38,Bob Carpenter,1950,1951,F-C,6-5	,200,"November 6, 1917",East Texas State University
39,Antoine Carr,1985,2000,F-C,6-9	,225,"July 23, 1961",Wichita State University
40,Austin Carr,1972,1981,G,6-4	,200,"March 10, 1948",University of Notre Dame
41,Chris Carr,1996,2001,G,6-5	,207,"March 12, 1974",Southern Illinois University
42,Cory Carr,1999,1999,G,6-3	,210,"December 5, 1975",Texas Tech University
43,Kenny Carr,1978,1987,F,6-7	,220,"August 15, 1955",North Carolina State University
44,M.L. Carr,1976,1985,F-G,6-6	,205,"January 9, 1951",Guilford College
45,Darel Carrier,1968,1973,G,6-3	,185,"October 26, 1940",Western Kentucky University
46,Bob Carrington,1978,1980,G-F,6-6	,195,"July 3, 1953",Boston College
47,DeMarre Carroll,2010,2018,F,6-8	,215,"July 27, 1986","Vanderbilt University, University of Missouri"
48,Joe Barry Carroll,1981,1991,C-F,7-0	,225,"July 24, 1958",Purdue University
49,Matt Carroll,2004,2013,G,6-6	,212,"August 28, 1980",University of Notre Dame
50,Jimmy Carruth,1997,1997,C-F,6-10	,265,"November 4, 1969",Virginia Polytechnic Institute and State University
51,Anthony Carter,2000,2012,G,6-1	,190,"June 16, 1975",University of Hawaii
52,Butch Carter,1981,1986,G,6-5	,180,"June 11, 1958",Indiana University
53,Fred Carter,1970,1977,G-F,6-3	,185,"February 14, 1945",Mount St. Mary's University
54,George Carter,1968,1976,F-G,6-4	,210,"January 10, 1944",St. Bonaventure University
55,Howard Carter,1984,1985,G,6-5	,215,"October 26, 1961",Louisiana State University
56,Jake Carter,1950,1950,F-C,6-4	,195,"July 25, 1924",East Texas State University
57,Maurice Carter,2004,2004,G,6-5	,210,"October 12, 1976",Louisiana State University
58,Reggie Carter,1981,1982,G,6-3	,175,"October 10, 1957","University of Hawaii, St. John's University"
59,Ron Carter,1979,1980,G,6-5	,190,"August 31, 1956",Virginia Military Institute
60,Vince Carter,1999,2018,G-F,6-6	,220,"January 26, 1977",University of North Carolina
61,Michael Carter-Williams,2014,2018,G,6-6	,190,"October 10, 1991",Syracuse University
62,Bill Cartwright,1980,1995,C,7-1	,245,"July 30, 1957",University of San Francisco
63,Jay Carty,1969,1969,F,6-8	,220,"July 4, 1941",Oregon State University
64,Alex Caruso,2018,2018,G,6-5	,186,"February 28, 1994",Texas A&M University
65,Cornelius Cash,1977,1977,F,6-8	,215,"March 3, 1952",Bowling Green State University
66,Sam Cash,1973,1973,F,6-8	,230,"November 13, 1950","University of California, Riverside"
67,Sam Cassell,1994,2008,G,6-3	,185,"November 18, 1969",Florida State University
68,Omri Casspi,2010,2018,F,6-9	,225,"June 22, 1988",
69,Harvey Catchings,1975,1985,C-F,6-9	,218,"September 2, 1951",Hardin-Simmons University
70,Terry Catledge,1986,1993,F,6-8	,220,"August 22, 1963",University of South Alabama
71,Sid Catlett,1972,1972,F,6-6	,230,"April 18, 1948",University of Notre Dame
72,Kelvin Cato,1998,2007,C,6-11	,255,"August 26, 1974","University of South Alabama, Iowa State University"
73,Bobby Cattage,1982,1986,F,6-9	,250,"August 17, 1958",Auburn University
74,Willie Cauley-Stein,2016,2018,F-C,7-0	,240,"August 18, 1993",University of Kentucky
75,Duane Causwell,1991,2001,C,7-0	,240,"May 31, 1968",Temple University
76,Tyler Cavanaugh,2018,2018,F,6-9	,239,"February 9, 1994",George Washington University
77,Ron Cavenall,1985,1989,C,7-1	,230,"April 30, 1959",Texas Southern University
78,Cedric Ceballos,1991,2001,F,6-6	,190,"August 2, 1969","California State University, Fullerton"
79,John Celestand,2000,2000,G,6-4	,178,"March 6, 1977",Villanova University
80,Al Cervi*,1950,1953,G-F,5-11	,170,"February 12, 1917",
81,Lionel Chalmers,2005,2005,G,6-0	,180,"November 10, 1980",Xavier University
82,Mario Chalmers,2009,2018,G,6-2	,190,"May 19, 1986",University of Kansas
83,Bill Chamberlain,1973,1974,F,6-6	,188,"December 16, 1949",University of North Carolina
84,Wilt Chamberlain*,1960,1973,C,7-1	,275,"August 21, 1936",University of Kansas
85,Jerry Chambers,1967,1974,F,6-5	,185,"July 18, 1943",University of Utah
86,Tom Chambers,1982,1998,F-C,6-10	,220,"June 21, 1959",University of Utah
87,Mike Champion,1989,1989,F,6-10	,230,"April 5, 1964",Gonzaga University
88,Tyson Chandler,2002,2018,C,7-1	,240,"October 2, 1982",
89,Wilson Chandler,2008,2018,F,6-8	,225,"May 10, 1987",DePaul University
90,Don Chaney,1969,1980,G,6-5	,210,"March 22, 1946",University of Houston
91,John Chaney,1950,1950,F-C,6-3	,185,"February 29, 1920",Louisiana State University
92,Rex Chapman,1989,2000,G,6-4	,185,"October 5, 1967",University of Kentucky
93,Wayne Chapman,1969,1972,G-F,6-6	,190,"June 15, 1945",Western Kentucky University
94,Len Chappell,1963,1972,F-C,6-8	,240,"January 31, 1941",Wake Forest University
95,Ken Charles,1974,1978,G,6-3	,180,"July 10, 1951",Fordham University
96,Lorenzo Charles,1986,1986,F,6-7	,225,"November 25, 1963",North Carolina State University
97,Calbert Cheaney,1994,2006,G-F,6-7	,209,"July 17, 1971",Indiana University
98,Maurice Cheeks*,1979,1993,G,6-1	,180,"September 8, 1956",West Texas A&M University
99,Phil Chenier,1972,1981,G,6-3	,180,"October 30, 1950",University of California
100,Will Cherry,2015,2015,G,6-0	,185,"February 8, 1991",University of Montana
101,Derrick Chievous,1989,1991,F,6-7	,195,"July 3, 1967",University of Missouri
102,Pete Chilcutt,1992,2000,F-C,6-10	,230,"September 14, 1968",University of North Carolina
103,Josh Childress,2005,2014,G-F,6-8	,210,"June 20, 1983",Stanford University
104,Randolph Childress,1996,1997,G,6-2	,188,"September 21, 1972",Wake Forest University
105,Chris Childs,1995,2003,G,6-3	,195,"November 20, 1967",Boise State University
106,Leroy Chollet,1950,1951,F,6-2	,190,"March 5, 1925",Canisius College
107,Jim Chones,1973,1982,C-F,6-11	,220,"November 30, 1949",Marquette University
108,Marquese Chriss,2017,2018,F,6-10	,233,"July 2, 1997",University of Washington
109,Fred Christ,1955,1955,G,6-4	,210,"August 6, 1930",Fordham University
110,Cal Christensen,1951,1955,F-C,6-5	,210,"June 6, 1927",University of Toledo
111,Bob Christian,1970,1974,C,6-10	,255,"May 11, 1946",Grambling State University
112,Doug Christie,1993,2007,G-F,6-6	,200,"May 9, 1970",Pepperdine University
113,Dionte Christmas,2014,2014,G,6-5	,205,"September 15, 1986",Temple University
114,Rakeem Christmas,2016,2017,F,6-9	,250,"December 1, 1991",Syracuse University
115,Semaj Christon,2017,2017,G,6-3	,190,"November 1, 1992",Xavier University
116,Patrick Christopher,2015,2015,G-F,6-5	,209,"June 3, 1988",University of California
117,Stephen Chubin,1968,1970,G,6-2	,200,"February 8, 1944",University of Rhode Island
118,Robert Churchwell,1996,1996,G-F,6-6	,195,"February 20, 1972",Georgetown University
119,Archie Clark,1967,1976,G,6-2	,175,"July 15, 1941",University of Minnesota
120,Carlos Clark,1984,1985,G,6-4	,210,"August 10, 1960",University of Mississippi
121,Earl Clark,2010,2015,F,6-10	,225,"January 17, 1988",University of Louisville
122,Ian Clark,2014,2018,G,6-3	,175,"March 7, 1991",Belmont University
123,Keon Clark,1999,2004,F-C,6-11	,220,"April 16, 1975","University of Nevada, Las Vegas"
124,Richard Clark,1968,1969,G,6-4	,190,"January 5, 1944",Eastern Kentucky University
125,Coty Clarke,2016,2016,F,6-7	,232,"July 4, 1992",University of Arkansas
126,Jordan Clarkson,2015,2018,G,6-5	,194,"June 7, 1992","University of Tulsa, University of Missouri"
127,Gian Clavell,2018,2018,G,6-4	,185,"November 26, 1993",Colorado State University
128,Victor Claver,2013,2015,F,6-9	,224,"August 30, 1988",
129,John Clawson,1969,1969,F,6-4	,200,"May 15, 1944",University of Michigan
130,Charles Claxton,1996,1996,C,7-0	,265,"December 13, 1970",University of Georgia
131,Speedy Claxton,2002,2009,G,5-11	,166,"May 8, 1978",Hofstra University
132,Jim Cleamons,1972,1980,G,6-3	,185,"September 13, 1949",Ohio State University
133,Mateen Cleaves,2001,2006,G,6-2	,205,"September 7, 1977",Michigan State University
134,Barry Clemens,1966,1976,F,6-6	,210,"May 1, 1943",Ohio Wesleyan University
135,Antonius Cleveland,2018,2018,G,6-6	,195,"February 2, 1994",Southeast Missouri State University
136,Nat Clifton*,1951,1958,C-F,6-6	,220,"October 13, 1922",Xavier University of Louisiana
137,Bill Closs,1950,1952,F-C,6-5	,195,"January 8, 1922",Rice University
138,Keith Closs,1998,2000,C,7-3	,212,"April 3, 1976",Central Connecticut State University
139,Paul Cloyd,1950,1950,G-F,6-2	,180,"June 13, 1920",University of Wisconsin
140,Bob Cluggish,1947,1947,C,6-10	,235,"September 18, 1917",University of Kentucky
141,Ben Clyde,1975,1975,F,6-7	,198,"June 10, 1951",Florida State University
142,Richard Coffey,1991,1991,F,6-6	,212,"September 2, 1965",University of Minnesota
143,Fred Cofield,1986,1987,G,6-3	,190,"January 4, 1962","University of Oregon, Eastern Michigan University"
144,John Coker,1996,2001,C,7-0	,253,"October 28, 1971",Boise State University
145,Norris Cole,2012,2017,G,6-2	,175,"October 13, 1988",Cleveland State University
146,Ben Coleman,1987,1994,F,6-9	,235,"November 14, 1961","University of Minnesota, University of Maryland"
147,Derrick Coleman,1991,2005,F,6-10	,230,"June 21, 1967",Syracuse University
148,E.C. Coleman,1974,1979,F,6-8	,225,"September 25, 1950",Houston Baptist University
149,Jack Coleman,1950,1958,F-C,6-7	,195,"May 23, 1924",University of Louisville
150,Norris Coleman,1988,1988,F,6-8	,210,"September 27, 1961",Kansas State University
151,Bimbo Coles,1991,2004,G,6-1	,180,"April 22, 1968",Virginia Polytechnic Institute and State University
152,Jason Collier,2001,2005,C,7-0	,260,"September 8, 1977","Indiana University, Georgia Institute of Technology"
153,Art Collins,1981,1981,G,6-4	,185,"April 14, 1954",St. Thomas University
154,Don Collins,1981,1987,F-G,6-6	,190,"November 28, 1958",Washington State University
155,Doug Collins,1974,1981,G-F,6-6	,180,"July 28, 1951",Illinois State University
156,James Collins,1998,1998,G,6-4	,196,"November 5, 1973",Florida State University
157,Jarron Collins,2002,2011,F-C,6-11	,255,"December 2, 1978",Stanford University
158,Jason Collins,2002,2014,C,7-0	,255,"December 2, 1978",Stanford University
159,Jimmy Collins,1971,1972,G,6-2	,175,"November 24, 1946",New Mexico State University
160,John Collins,2018,2018,F,6-10	,235,"September 23, 1997",Wake Forest University
161,Mardy Collins,2007,2010,G,6-6	,220,"August 4, 1984",Temple University
162,Sherron Collins,2011,2011,G,5-11	,205,"March 18, 1987",University of Kansas
163,Zach Collins,2018,2018,C-F,7-0	,232,"November 19, 1997",Gonzaga University
164,Kyle Collinsworth,2018,2018,G-F,6-6	,210,"October 3, 1991",Brigham Young University
165,Darren Collison,2010,2018,G,6-0	,175,"August 23, 1987","University of California, Los Angeles"
166,Nick Collison,2005,2018,F,6-10	,255,"October 26, 1980",University of Kansas
167,Joe Colone,1949,1949,F,6-5	,210,"January 23, 1924",Bloomsburg University of Pennsylvania
168,Sean Colson,2001,2001,G,6-0	,175,"July 1, 1975","University of Rhode Island, University of North Carolina at Charlotte"
169,Steve Colter,1985,1995,G,6-3	,165,"July 24, 1962",New Mexico State University
170,Glen Combs,1969,1975,G,6-2	,185,"October 30, 1946",Virginia Polytechnic Institute and State University
171,Leroy Combs,1984,1984,F,6-8	,210,"January 1, 1961",Oklahoma State University
172,John Comeaux,1968,1968,F,6-5	,193,"September 15, 1943",Grambling State University
173,Dallas Comegys,1988,1989,F,6-9	,205,"August 17, 1964",DePaul University
174,Larry Comley,1964,1964,G,6-5	,210,"August 17, 1939",Kansas State University
175,Jeffrey Congdon,1968,1972,G,6-1	,180,"October 17, 1943",Brigham Young University
176,Gene Conley,1953,1964,C-F,6-8	,225,"November 10, 1930",Washington State University
177,Larry Conley,1968,1968,G,6-3	,175,"January 22, 1944",University of Kentucky
178,Mike Conley,2008,2018,G,6-1	,175,"October 11, 1987",Ohio State University
179,Ed Conlin,1956,1962,F-G,6-5	,200,"September 2, 1933",Fordham University
180,Marty Conlon,1992,2000,F-C,6-10	,224,"January 19, 1968",Providence College
181,Pat Connaughton,2016,2018,G,6-5	,206,"January 6, 1993",University of Notre Dame
182,Jimmy Conner,1976,1976,G,6-4	,190,"March 20, 1953",University of Kentucky
183,Lester Conner,1983,1995,G,6-4	,180,"September 17, 1959",Oregon State University
184,Chuck Connors,1947,1948,F-C,6-5	,190,"April 10, 1921",Seton Hall University
185,Will Conroy,2007,2013,G,6-2	,195,"December 8, 1982",University of Washington
186,Anthony Cook,1991,1996,F-C,6-9	,205,"March 19, 1967",University of Arizona
187,Bert Cook,1955,1955,G-F,6-3	,185,"April 26, 1929",Utah State University
188,Bobby Cook,1950,1950,G-F,5-10	,155,"April 1, 1923",University of Wisconsin
189,Brian Cook,2004,2012,F,6-9	,234,"December 4, 1980",University of Illinois at Urbana-Champaign
190,Daequan Cook,2008,2013,G,6-5	,205,"April 28, 1987",Ohio State University
191,Darwin Cook,1981,1989,G,6-3	,184,"August 6, 1958",University of Portland
192,Jeff Cook,1980,1988,F-C,6-10	,215,"October 21, 1956",Idaho State University
193,Norm Cook,1977,1978,F,6-8	,210,"March 21, 1955",University of Kansas
194,Omar Cook,2004,2005,G,6-1	,190,"January 28, 1982",St. John's University
195,Quinn Cook,2017,2018,G,6-2	,184,"March 23, 1993",Duke University
196,Charles Cooke,2018,2018,G,6-5	,196,"July 1, 1994",University of Dayton
197,David Cooke,1986,1986,F,6-8	,230,"September 27, 1963",Saint Mary's College of California
198,Joe Cooke,1971,1971,G,6-3	,175,"August 14, 1948",Indiana University
199,Jack Cooley,2015,2018,F-C,6-9	,260,"April 4, 1991",University of Notre Dame
200,Chuck Cooper,1951,1956,F,6-5	,210,"September 29, 1926",Duquesne University
201,Duane Cooper,1993,1994,G,6-1	,185,"June 25, 1969",University of Southern California
202,Joe Cooper,1982,1985,C-F,6-10	,230,"September 1, 1957","Howard University, University of Tulsa, University of Colorado"
203,Michael Cooper,1979,1990,G-F,6-5	,170,"April 15, 1956",University of New Mexico
204,Wayne Cooper,1979,1992,C-F,6-10	,220,"November 16, 1956",University of New Orleans
205,Tom Copa,1992,1992,C,6-10	,275,"October 30, 1964",Marquette University
206,Chris Copeland,2013,2016,F,6-9	,239,"March 17, 1984",University of Colorado
207,Hollis Copeland,1980,1982,F,6-6	,180,"December 20, 1955",Rutgers University
208,Lanard Copeland,1990,1992,G,6-6	,190,"July 16, 1965",Georgia State University
209,Tyrone Corbin,1986,2001,G-F,6-6	,210,"December 31, 1962",DePaul University
210,Chris Corchiani,1992,1994,G,6-0	,185,"March 28, 1968",North Carolina State University
211,Ken Corley,1947,1947,C,6-5	,210,,Oklahoma State Teachers College
212,Ray Corley,1950,1953,G,6-0	,180,"January 1, 1928",Georgetown University
213,Dave Corzine,1979,1991,C,6-11	,250,"April 25, 1956",DePaul University
214,Larry Costello,1955,1968,G,6-1	,186,"July 2, 1931",Niagara University
215,Matt Costello,2018,2018,F,6-9	,245,"August 5, 1993",Michigan State University
216,Bryce Cotton,2015,2016,G,6-1	,165,"August 11, 1992",Providence College
217,Jack Cotton,1950,1950,F-C,6-7	,200,"October 25, 1924",University of Wyoming
218,James Cotton,1998,1999,G,6-5	,220,"December 14, 1975","California State University, Long Beach"
219,John Coughran,1980,1980,F,6-7	,225,"September 12, 1951",University of California
220,Mel Counts,1965,1976,C-F,7-0	,230,"October 16, 1941",Oregon State University
221,Steve Courtin,1965,1965,G,6-1	,188,"September 21, 1942",Saint Joseph's University
222,Joe Courtney,1993,1997,F,6-8	,235,"October 17, 1969","Mississippi State University, University of Southern Mississippi"
223,Marcus Cousin,2011,2011,C,6-11	,245,"December 18, 1986","Seton Hall University, University of Houston"
224,DeMarcus Cousins,2011,2018,C-F,6-11	,270,"August 13, 1990",University of Kentucky
225,Bob Cousy*,1951,1970,G,6-1	,175,"August 9, 1928",College of the Holy Cross
226,Robert Covington,2014,2018,F,6-9	,215,"December 14, 1990",Tennessee State University
227,Dave Cowens*,1971,1983,C-F,6-9	,230,"October 25, 1948",Florida State University
228,Chubby Cox,1983,1983,G,6-2	,180,"December 29, 1955","Villanova University, University of San Francisco"
229,Johnny Cox,1963,1963,G,6-4	,180,"November 1, 1936",University of Kentucky
230,Wesley Cox,1978,1979,F,6-6	,215,"January 27, 1955",University of Louisville
231,Allen Crabbe,2014,2018,G-F,6-6	,210,"April 9, 1992",University of California
232,Torrey Craig,2018,2018,G-F,6-6	,215,"December 19, 1990",University of South Carolina Upstate
233,Chris Crawford,1998,2004,F,6-9	,235,"May 13, 1975",Marquette University
234,Freddie Crawford,1967,1971,G-F,6-4	,189,"December 23, 1941",St. Bonaventure University
235,Jamal Crawford,2001,2018,G,6-5	,200,"March 20, 1980",University of Michigan
236,Joe Crawford,2009,2009,F,6-5	,210,"June 17, 1986",University of Kentucky
237,Jordan Crawford,2011,2018,G,6-4	,195,"October 23, 1988","Indiana University, Xavier University"
238,Jim Creighton,1976,1976,F,6-8	,200,"April 18, 1950",University of Colorado
239,Ron Crevier,1986,1986,C,7-0	,235,"April 14, 1958",Boston College
240,Hal Crisler,1947,1947,F,6-3	,215,"December 31, 1923",Iowa State University
241,Joe Crispin,2002,2002,G,6-0	,185,"July 18, 1979",Pennsylvania State University
242,Charlie Criss,1978,1985,G,5-8	,165,"November 6, 1948",New Mexico State University
243,Russell Critchfield,1969,1969,G,5-10	,150,"June 27, 1946",University of California
244,Winston Crite,1988,1989,F,6-7	,233,"June 20, 1965",Texas A&M University
245,Javaris Crittenton,2008,2009,G,6-5	,200,"December 31, 1987",Georgia Institute of Technology
246,Dillard Crocker,1949,1953,F-G,6-4	,205,"January 19, 1925",Western Michigan University
247,Bobby Croft,1971,1971,C,6-10	,200,"March 17, 1946",University of Tennessee
248,Geoff Crompton,1979,1984,C,6-11	,280,"July 4, 1955",University of North Carolina
249,Terry Crosby,1980,1980,G,6-4	,195,"January 4, 1957",University of Tennessee
250,Austin Croshere,1998,2009,F,6-9	,235,"May 1, 1975",Providence College
251,Jeff Cross,1986,1986,F,6-10	,240,"September 1, 1961",University of Maine
252,Pete Cross,1971,1973,C-F,6-9	,230,"March 28, 1948",University of San Francisco
253,Russell Cross,1984,1984,C,6-10	,215,"September 5, 1961",Purdue University
254,Chink Crossin,1948,1950,G,6-1	,165,"July 4, 1923",University of Pennsylvania
255,John Crotty,1993,2003,G,6-1	,185,"July 15, 1969",University of Virginia
256,Bill Crow,1968,1968,G,6-1	,180,"December 9, 1940",Westminster College of Utah
257,Mark Crow,1978,1978,F,6-7	,210,"October 22, 1954",Duke University
258,Corey Crowder,1992,1995,G-F,6-5	,214,"April 13, 1969",Kentucky Wesleyan College
259,Jae Crowder,2013,2018,F,6-6	,235,"July 6, 1990",Marquette University
260,Al Cueto,1970,1971,C-F,6-7	,230,"August 2, 1946",University of Tulsa
261,Pat Cummings,1980,1991,F-C,6-9	,230,"July 11, 1956",University of Cincinnati
262,Terry Cummings,1983,2000,F,6-9	,220,"March 15, 1961",DePaul University
263,Vonteego Cummings,2000,2002,G,6-3	,185,"February 29, 1976",University of Pittsburgh
264,Billy Cunningham*,1966,1976,F-C,6-6	,210,"June 3, 1943",University of North Carolina
265,Dante Cunningham,2010,2018,F,6-8	,230,"April 22, 1987",Villanova University
266,Dick Cunningham,1969,1975,C,6-10	,245,"July 11, 1946",Murray State University
267,Jared Cunningham,2013,2016,G,6-4	,195,"May 22, 1991",Oregon State University
268,William Cunningham,1998,1999,C,6-11	,250,"March 25, 1974",Temple University
269,Radisav Curcic,1993,1993,C,6-10	,275,"September 26, 1965",
270,Armand Cure,1947,1947,F,6-0	,198,"August 1, 1919",University of Rhode Island
271,Earl Cureton,1981,1997,F-C,6-9	,210,"September 3, 1957","Robert Morris University (PA), University of Detroit Mercy"
272,Bill Curley,1995,2001,F,6-9	,220,"May 29, 1972",Boston College
273,Fran Curran,1949,1950,G,6-0	,175,"September 9, 1922",University of Notre Dame
274,Dell Curry,1987,2002,G,6-4	,190,"June 25, 1964",Virginia Polytechnic Institute and State University
275,Eddy Curry,2002,2013,C,7-0	,295,"December 5, 1982",
276,JamesOn Curry,2010,2010,G,6-3	,190,"January 7, 1986",Oklahoma State University
277,Michael Curry,1994,2005,F-G,6-5	,210,"August 22, 1968",Georgia Southern University
278,Seth Curry,2014,2017,G,6-2	,185,"August 23, 1990","Liberty University, Duke University"
279,Stephen Curry,2010,2018,G,6-3	,190,"March 14, 1988",Davidson College
280,Rastko Cvetkovic,1996,1996,C,7-1	,260,"June 22, 1970",
