,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
164,Lavor Postell,2001,2003,G,6-5	,215,"February 26, 1978",St. John's University
165,John Postley,1968,1968,F,6-5	,220,"May 30, 1940",Bethune-Cookman College
166,Vitaly Potapenko,1997,2007,C,6-10	,280,"March 21, 1975",Wright State University
167,Leon Powe,2007,2011,F,6-8	,240,"January 22, 1984",University of California
168,Cincinnatus Powell,1968,1975,F-C,6-7	,220,"February 25, 1942",University of Portland
169,Dwight Powell,2015,2018,F-C,6-11	,240,"July 20, 1991",Stanford University
170,Josh Powell,2006,2014,F,6-9	,225,"January 25, 1983",North Carolina State University
171,Kasib Powell,2008,2008,F,6-7	,215,"March 18, 1981",Texas Tech University
172,Norman Powell,2016,2018,G,6-4	,215,"May 25, 1993","University of California, Los Angeles"
173,Roger Powell,2007,2007,F,6-6	,235,"January 15, 1983",University of Illinois at Urbana-Champaign
174,Alex Poythress,2017,2018,F,6-7	,238,"September 6, 1993",University of Kentucky
175,Marlbert Pradd,1968,1969,G,6-3	,170,"November 17, 1944",Dillard University
176,Mike Pratt,1971,1972,G-F,6-4	,195,"August 4, 1948",University of Kentucky
177,Paul Pressey,1983,1993,G-F,6-5	,185,"December 24, 1958",University of Tulsa
178,Phil Pressey,2014,2016,G,5-11	,175,"February 17, 1991",University of Missouri
179,Dominic Pressley,1989,1989,G,6-2	,170,"May 30, 1964",Boston College
180,Harold Pressley,1987,1990,F-G,6-7	,210,"July 14, 1963",Villanova University
181,Stephen Previs,1973,1973,G,6-3	,183,"February 9, 1950",University of North Carolina
182,A.J. Price,2010,2015,G,6-2	,181,"October 7, 1986",University of Connecticut
183,Brent Price,1993,2002,G,6-1	,165,"December 9, 1968","University of South Carolina, University of Oklahoma"
184,Jim Price,1973,1979,G,6-3	,195,"November 27, 1949",University of Louisville
185,Mark Price,1987,1998,G,6-0	,170,"February 15, 1964",Georgia Institute of Technology
186,Mike Price,1971,1973,G,6-3	,200,"September 11, 1948",University of Illinois at Urbana-Champaign
187,Ronnie Price,2006,2017,G,6-2	,190,"June 21, 1983","Nicholls State University, Utah Valley State College"
188,Tony Price,1981,1981,G,6-6	,190,"January 5, 1957",University of Pennsylvania
189,Bob Priddy,1953,1953,F,6-3	,190,"March 24, 1930",New Mexico State University
190,Pablo Prigioni,2013,2016,G,6-3	,185,"May 17, 1977",
191,Tayshaun Prince,2003,2016,F,6-9	,212,"February 28, 1980",University of Kentucky
192,John Pritchard,1950,1950,C,6-9	,220,"January 23, 1927",Drake University
193,Kevin Pritchard,1991,1996,G,6-3	,180,"July 17, 1967",University of Kansas
194,Laron Profit,2000,2006,G-F,6-5	,204,"August 5, 1977",University of Maryland
195,Gabe Pruitt,2008,2009,G,6-4	,170,"April 19, 1986",University of Southern California
196,Joel Przybilla,2001,2013,C,7-1	,255,"October 10, 1979",University of Minnesota
197,Les Pugh,1949,1950,C-F,6-7	,190,"September 18, 1922",Ohio State University
198,Roy Pugh,1949,1949,C-F,6-6	,210,"October 16, 1922",Southern Methodist University
199,Anthony Pullard,1993,1993,F,6-10	,245,"June 23, 1966",McNeese State University
200,Jacob Pullen,2018,2018,G,6-1	,200,"November 10, 1989",Kansas State University
201,Rodney Purvis,2018,2018,G,6-4	,205,"February 14, 1994",University of Connecticut
202,Don Putman,1947,1950,G,6-1	,170,"November 13, 1922",University of Denver
