,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
148,Luc Longley,1992,2001,C,7-2	,265.0,"January 19, 1969",University of New Mexico
149,Kevon Looney,2016,2018,F-C,6-9	,220.0,"February 6, 1996","University of California, Los Angeles"
150,Brook Lopez,2009,2018,C,7-0	,275.0,"April 1, 1988",Stanford University
151,Felipe Lopez,1999,2002,G,6-5	,199.0,"December 19, 1974",St. John's University
152,Raul Lopez,2004,2005,G,6-1	,170.0,"April 15, 1980",
153,Robin Lopez,2009,2018,C,7-0	,255.0,"April 1, 1988",Stanford University
154,Ryan Lorthridge,1995,1995,G,6-4	,190.0,"July 27, 1972",Jackson State University
155,Jim Loscutoff,1956,1964,F,6-5	,220.0,"February 4, 1930",University of Oregon
156,Plummer Lott,1968,1969,F-G,6-5	,210.0,"December 11, 1945",Seattle University
157,Kevin Loughery,1963,1973,G,6-3	,190.0,"March 28, 1940","Boston College, St. John's University"
158,Bob Love,1967,1977,F,6-8	,215.0,"December 8, 1942",Southern University and A&M College
159,Kevin Love,2009,2018,F,6-10	,251.0,"September 7, 1988","University of California, Los Angeles"
160,Stan Love,1972,1975,F,6-9	,215.0,"April 9, 1949",University of Oregon
161,Clyde Lovellette*,1954,1964,C-F,6-9	,234.0,"September 7, 1929",University of Kansas
162,Sidney Lowe,1984,1990,G,6-0	,195.0,"January 21, 1960",North Carolina State University
163,Charlie Lowery,1972,1972,G,6-3	,185.0,"November 12, 1949",University of Puget Sound
164,Kyle Lowry,2007,2018,G,6-0	,205.0,"March 25, 1986",Villanova University
165,Al Lucas,1949,1949,F-G,6-3	,195.0,"July 4, 1922",Fordham University
166,Jerry Lucas*,1964,1974,F-C,6-8	,230.0,"March 30, 1940",Ohio State University
167,John Lucas,1977,1990,G,6-3	,175.0,"October 31, 1953",University of Maryland
168,Kalin Lucas,2015,2015,G,6-1	,195.0,"May 24, 1989",Michigan State University
169,Maurice Lucas,1975,1988,F-C,6-9	,215.0,"February 18, 1952",Marquette University
170,John Lucas III,2006,2017,G,5-11	,166.0,"November 21, 1982","Baylor University, Oklahoma State University"
171,Ted Luckenbill,1962,1963,F,6-6	,205.0,"July 27, 1939",University of Houston
172,Tyronn Lue,1999,2009,G,6-0	,175.0,"May 3, 1977",University of Nebraska
173,Jim Luisi,1954,1954,G,6-2	,180.0,"November 2, 1928",St. Francis College
174,Al Lujack,1947,1947,F,6-3	,220.0,"October 5, 1920",Georgetown University
175,Phil Lumpkin,1975,1976,G,6-0	,165.0,"December 20, 1951",Miami University
176,Ray Lumpp,1949,1953,G,6-1	,178.0,"July 11, 1923",New York University
177,Timothe Luwawu-Cabarrot,2017,2018,F,6-6	,205.0,"May 9, 1995",
178,Tyler Lydon,2018,2018,F,6-10	,215.0,"April 9, 1996",Syracuse University
179,Trey Lyles,2016,2018,F,6-10	,234.0,"November 5, 1995",University of Kentucky
180,R.B. Lynam,1968,1968,G,6-1	,190.0,,Oklahoma Baptist University
181,George Lynch,1994,2005,F,6-8	,218.0,"September 3, 1970",University of North Carolina
182,Kevin Lynch,1992,1993,G-F,6-5	,195.0,"December 24, 1968",University of Minnesota
183,Lonnie Lynn,1970,1970,F,6-7	,215.0,"May 24, 1943",Wilberforce University
184,Mike Lynn,1970,1971,F,6-7	,215.0,"November 25, 1945","University of California, Los Angeles"
