,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
55,Jameel Warney,2018,2018,F,6-8	,260.0,"January 31, 1994",Stony Brook University
56,Bob Warren,1969,1976,G,6-5	,190.0,"July 17, 1946",Vanderbilt University
57,John Warren,1970,1974,G-F,6-3	,180.0,"July 7, 1947",St. John's University
58,T.J. Warren,2015,2018,F,6-8	,230.0,"September 5, 1993",North Carolina State University
59,Willie Warren,2011,2011,G,6-4	,203.0,"October 22, 1989",University of Oklahoma
60,Bryan Warrick,1983,1986,G,6-5	,195.0,"July 22, 1959",Saint Joseph's University
61,Hakim Warrick,2006,2013,F,6-9	,219.0,"July 8, 1982",Syracuse University
62,Chris Washburn,1987,1988,C,6-11	,225.0,"May 13, 1965",North Carolina State University
63,Bobby Washington,1970,1972,G,5-11	,175.0,"July 11, 1947",Eastern Kentucky University
64,Darius Washington,2008,2008,G,6-2	,195.0,"December 6, 1985",University of Memphis
65,Donald Washington,1975,1976,F,6-8	,210.0,"April 22, 1952",University of North Carolina
66,Duane Washington,1988,1993,G,6-4	,195.0,"August 31, 1964",Middle Tennessee State University
67,Eric Washington,1998,1999,G,6-4	,190.0,"March 23, 1974",University of Alabama
68,Jim Washington,1966,1976,F-C,6-6	,210.0,"July 1, 1943",Villanova University
69,Kermit Washington,1974,1988,F-C,6-8	,230.0,"September 17, 1951",American University
70,Pearl Washington,1987,1989,G,6-2	,190.0,"January 6, 1964",Syracuse University
71,Richard Washington,1977,1982,F-C,6-11	,220.0,"July 15, 1955","University of California, Los Angeles"
72,Stan Washington,1975,1975,G,6-4	,190.0,"January 23, 1952",University of San Diego
73,Trooper Washington,1968,1973,F-C,6-7	,215.0,"April 21, 1944",Cheyney University of Pennsylvania
74,Wilson Washington,1978,1979,F-C,6-9	,227.0,"August 3, 1955",Old Dominion University
75,Darryl Watkins,2008,2012,C,6-11	,258.0,"November 8, 1984",Syracuse University
76,Bobby Watson,1955,1955,G,6-0	,160.0,"March 22, 1930",University of Kentucky
77,C.J. Watson,2008,2017,G,6-2	,175.0,"April 17, 1984",University of Tennessee
78,Earl Watson,2002,2014,G,6-1	,195.0,"June 12, 1979","University of California, Los Angeles"
79,Jamie Watson,1995,1999,F,6-7	,190.0,"February 23, 1972",University of South Carolina
80,Ron Watts,1966,1967,F,6-6	,210.0,"May 21, 1943",Wake Forest University
81,Samuel Watts,1971,1971,G,6-3	,185.0,"March 14, 1948",Florida Agricultural and Mechanical University
82,Slick Watts,1974,1979,G,6-1	,175.0,"July 22, 1951",Xavier University of Louisiana
83,Maalik Wayns,2013,2014,G,6-2	,200.0,"May 2, 1991",Villanova University
84,David Wear,2015,2015,F,6-10	,230.0,"September 21, 1990","University of North Carolina, University of California, Los Angeles"
85,Travis Wear,2015,2018,F,6-10	,230.0,"September 21, 1990","University of North Carolina, University of California, Los Angeles"
86,Clarence Weatherspoon,1993,2005,F,6-6	,240.0,"September 8, 1970",University of Southern Mississippi
87,Nick Weatherspoon,1974,1980,F,6-7	,195.0,"July 20, 1950",University of Illinois at Urbana-Champaign
88,Kyle Weaver,2009,2011,G,6-6	,201.0,"February 18, 1986",Washington State University
89,James Webb,2018,2018,F,6-9	,202.0,"August 19, 1993",Boise State University
90,Jeff Webb,1971,1972,G,6-4	,170.0,"July 6, 1948",Kansas State University
91,Marcus Webb,1993,1993,F-C,6-9	,255.0,"May 9, 1970",University of Alabama
92,Spud Webb,1986,1998,G,5-6	,133.0,"July 13, 1963","Midland College, North Carolina State University"
93,Chris Webber,1994,2008,F-C,6-9	,245.0,"March 1, 1973",University of Michigan
94,Briante Weber,2016,2018,G,6-2	,165.0,"December 29, 1992",Virginia Commonwealth University
95,Jake Weber,1947,1947,C,6-6	,225.0,"March 18, 1918",Purdue University
96,Elnardo Webster,1972,1972,F,6-5	,190.0,"March 6, 1948",Saint Peter's College
97,Jeff Webster,1996,1996,F,6-8	,232.0,"February 19, 1971",University of Oklahoma
98,Martell Webster,2006,2015,G-F,6-7	,230.0,"December 4, 1986",
99,Marvin Webster,1976,1987,C,7-1	,225.0,"April 13, 1952",Morgan State University
100,Scott Wedman,1975,1987,F-G,6-7	,215.0,"July 29, 1952",University of Colorado
101,Sonny Weems,2009,2016,G-F,6-6	,205.0,"July 8, 1986",University of Arkansas
102,Dick Wehr,1949,1949,F,6-4	,180.0,"December 9, 1925",Rice University
103,Brant Weidner,1984,1984,F,6-9	,230.0,"October 28, 1960",College of William & Mary
104,Bob Weiss,1966,1977,G,6-2	,180.0,"May 7, 1942",Pennsylvania State University
105,Rick Weitzman,1968,1968,G,6-2	,175.0,"April 30, 1946",Northeastern University
106,Bonzi Wells,1999,2008,G-F,6-5	,210.0,"September 28, 1976",Ball State University
107,Bubba Wells,1998,1998,F,6-5	,230.0,"July 26, 1974",Austin Peay State University
108,Owen Wells,1975,1975,F,6-7	,200.0,"December 9, 1950",University of Detroit Mercy
109,Ralph Wells,1963,1963,G,6-1	,180.0,"September 3, 1940",Northwestern University
110,Chris Welp,1988,1990,C,7-0	,245.0,"January 2, 1964",University of Washington
111,Jiri Welsch,2003,2006,G,6-7	,208.0,"January 27, 1980",
112,Bill Wennington,1986,2000,C,7-0	,245.0,"April 26, 1963",St. John's University
113,Matt Wenstrom,1994,1994,C,7-1	,250.0,"November 4, 1970",University of North Carolina
114,Robert Werdann,1993,1997,C,6-11	,250.0,"September 12, 1970",St. John's University
115,Ray Wertis,1947,1948,G,5-11	,,"January 1, 1922",St. John's University
116,David Wesley,1994,2007,G,6-0	,190.0,"November 14, 1970",Baylor University
117,Walt Wesley,1967,1976,C,6-11	,220.0,"January 25, 1945",University of Kansas
118,David West,2004,2018,F-C,6-9	,250.0,"August 29, 1980",Xavier University
119,Delonte West,2005,2012,G,6-4	,180.0,"July 26, 1983",Saint Joseph's University
120,Doug West,1990,2001,G-F,6-6	,200.0,"May 27, 1967",Villanova University
121,Jerry West*,1961,1974,G,6-2	,175.0,"May 28, 1938",West Virginia University
122,Mario West,2008,2011,G,6-5	,210.0,"June 19, 1984",Georgia Institute of Technology
123,Mark West,1984,2000,C-F,6-10	,230.0,"November 5, 1960",Old Dominion University
124,Roland West,1968,1968,G,6-4	,178.0,"June 6, 1944",University of Cincinnati
125,Dexter Westbrook,1968,1968,F,6-8	,190.0,,Providence College
126,Russell Westbrook,2009,2018,G,6-3	,200.0,"November 12, 1988","University of California, Los Angeles"
127,Paul Westphal,1973,1984,G,6-4	,195.0,"November 30, 1950",University of Southern California
128,John Wetzel,1968,1976,G-F,6-5	,190.0,"October 22, 1944",Virginia Polytechnic Institute and State University
129,Robert Whaley,2006,2006,C,6-10	,260.0,"April 16, 1982","Barton County Community College, University of Cincinnati, Walsh University"
130,Ennis Whatley,1984,1997,G,6-3	,177.0,"August 11, 1962",University of Alabama
131,DeJuan Wheat,1998,1999,G,6-0	,165.0,"October 14, 1973",University of Louisville
132,Clinton Wheeler,1988,1989,G,6-1	,185.0,"October 27, 1959",William Paterson University
133,Tyson Wheeler,1999,1999,G,5-10	,165.0,"October 8, 1975",University of Rhode Island
134,Skippy Whitaker,1955,1955,G,6-1	,180.0,"August 29, 1930",University of Kentucky
135,Andrew White,2018,2018,G,6-7	,210.0,"June 16, 1993","University of Nebraska, Syracuse University"
136,D.J. White,2009,2014,F,6-9	,251.0,"August 31, 1986",Indiana University
137,Derrick White,2018,2018,G,6-5	,190.0,"July 2, 1994",University of Colorado
138,Eric White,1988,1989,F,6-8	,200.0,"December 30, 1965",Pepperdine University
139,Herb White,1971,1971,G,6-2	,195.0,"June 15, 1948",University of Georgia
140,Hubie White,1963,1971,G-F,6-4	,205.0,"January 26, 1940",Villanova University
141,Jahidi White,1999,2005,F-C,6-9	,290.0,"February 19, 1976",Georgetown University
142,James White,2007,2013,G-F,6-7	,200.0,"October 21, 1982","University of Florida, University of Cincinnati"
143,Jo Jo White*,1970,1981,G,6-3	,190.0,"November 16, 1946",University of Kansas
144,Okaro White,2017,2018,F,6-8	,204.0,"August 13, 1992",Florida State University
145,Randy White,1990,1994,F,6-8	,240.0,"November 4, 1967",Louisiana Tech University
146,Rodney White,2002,2005,F,6-9	,238.0,"June 28, 1980",University of North Carolina at Charlotte
147,Rory White,1983,1987,F,6-8	,210.0,"August 16, 1959",University of South Alabama
148,Royce White,2014,2014,F,6-8	,270.0,"April 10, 1991",Iowa State University
149,Rudy White,1976,1981,G,6-2	,195.0,"June 23, 1953",Arizona State University
150,Tony White,1988,1988,G,6-2	,170.0,"February 15, 1965",University of Tennessee
151,Willie White,1985,1986,G,6-3	,195.0,"August 20, 1962",University of Tennessee at Chattanooga
152,Isaiah Whitehead,2017,2018,G,6-4	,213.0,"March 8, 1995",Seton Hall University
153,Jerome Whitehead,1979,1989,C-F,6-10	,220.0,"September 30, 1956",Marquette University
154,Donald Whiteside,1997,1998,G,5-10	,160.0,"April 25, 1969",Northern Illinois University
155,Hassan Whiteside,2011,2018,C,7-0	,265.0,"June 13, 1989",Marshall University
156,Dwayne Whitfield,1996,1996,F,6-9	,240.0,"August 21, 1972",Jackson State University
157,Chris Whitney,1994,2004,G,6-0	,168.0,"October 5, 1971",Clemson University
158,Hank Whitney,1968,1970,F-C,6-7	,230.0,"April 28, 1939",Iowa State University
159,Hawkeye Whitney,1981,1982,G-F,6-5	,235.0,"June 22, 1957",North Carolina State University
160,Shayne Whittington,2015,2016,F-C,6-11	,250.0,"March 27, 1991",Western Michigan University
161,Sidney Wicks,1972,1981,F-C,6-8	,225.0,"September 19, 1949","University of California, Los Angeles"
162,Ron Widby,1968,1968,F,6-4	,210.0,"March 9, 1945",University of Tennessee
163,Murray Wier,1950,1950,G,5-9	,155.0,"December 12, 1926",University of Iowa
164,Bob Wiesenhahn,1962,1962,F,6-4	,215.0,"December 22, 1938",University of Cincinnati
165,Andrew Wiggins,2015,2018,F-G,6-8	,199.0,"February 23, 1995",University of Kansas
166,Mitchell Wiggins,1984,1992,G,6-4	,185.0,"September 28, 1959","Clemson University, Florida State University"
167,Ken Wilburn,1968,1969,F,6-6	,195.0,"June 8, 1944",Central State University
168,C.J. Wilcox,2015,2017,G,6-5	,195.0,"December 30, 1990",University of Washington
169,Chris Wilcox,2003,2013,F,6-10	,221.0,"September 3, 1982",University of Maryland
170,D.C. Wilcutt,1949,1950,G,6-2	,165.0,"March 25, 1923",Saint Louis University
171,Gene Wiley,1963,1968,C,6-10	,210.0,"November 12, 1937",Wichita State University
172,Jacob Wiley,2018,2018,F,6-7	,215.0,"September 4, 1994",Eastern Washington University
173,Michael Wiley,1981,1982,F,6-9	,200.0,"October 16, 1957","California State University, Long Beach"
174,Morlon Wiley,1989,1995,G,6-4	,185.0,"September 24, 1966","California State University, Long Beach"
175,Win Wilfong,1958,1961,G-F,6-2	,185.0,"March 18, 1933",University of Memphis
176,Lenny Wilkens*,1961,1975,G,6-1	,180.0,"October 28, 1937",Providence College
177,Bob Wilkerson,1977,1983,G-F,6-6	,195.0,"August 15, 1954",Indiana University
178,Jamaal Wilkes*,1975,1986,F-G,6-6	,190.0,"May 2, 1953","University of California, Los Angeles"
179,James Wilkes,1981,1983,F,6-7	,195.0,"April 1, 1958","University of California, Los Angeles"
180,Damien Wilkins,2005,2018,F-G,6-6	,225.0,"January 11, 1980","North Carolina State University, University of Georgia"
181,Dominique Wilkins*,1983,1999,F-G,6-7	,200.0,"January 12, 1960",University of Georgia
182,Eddie Lee Wilkins,1985,1993,F-C,6-10	,220.0,"May 7, 1962",Gardner-Webb University
183,Gerald Wilkins,1986,1999,G-F,6-6	,185.0,"September 11, 1963",University of Tennessee at Chattanooga
184,Jeff Wilkins,1981,1986,C-F,6-11	,230.0,"March 9, 1955",Illinois State University
185,Dale Wilkinson,1985,1985,F,6-10	,220.0,"March 18, 1960",Idaho State University
186,Mike Wilks,2003,2010,G,5-10	,185.0,"May 7, 1979",Rice University
187,Aaron Williams,1994,2008,F-C,6-9	,220.0,"October 2, 1971",Xavier University
188,Al Williams,1971,1971,F,6-6	,200.0,"February 3, 1948",Drake University
189,Alan Williams,2016,2018,F-C,6-8	,260.0,"January 28, 1993","University of California, Santa Barbara"
190,Alvin Williams,1998,2007,G,6-5	,185.0,"August 6, 1974",Villanova University
191,Art Williams,1968,1975,G,6-1	,180.0,"September 29, 1939","California State Polytechnic University, Pomona"
192,Bernie Williams,1970,1974,G,6-3	,175.0,"December 30, 1945",La Salle University
193,Bob Williams,1956,1957,F,6-6	,230.0,"May 12, 1931",Florida Agricultural and Mechanical University
194,Brandon Williams,1998,2003,G,6-6	,215.0,"February 27, 1975",Davidson College
195,Buck Williams,1982,1998,F-C,6-8	,215.0,"March 8, 1960",University of Maryland
196,C.J. Williams,2018,2018,G,6-5	,225.0,"February 6, 1990",North Carolina State University
197,Charles Williams,1968,1973,G,6-0	,165.0,"September 5, 1943",Seattle University
198,Chuck Williams,1971,1978,G,6-2	,175.0,"June 6, 1946",University of Colorado
199,Chuckie Williams,1977,1977,G,6-3	,180.0,"December 31, 1953",Kansas State University
200,Cliff Williams,1969,1969,G,6-3	,180.0,"April 15, 1945",Bowling Green State University
201,Corey Williams,1993,1994,G,6-2	,190.0,"April 24, 1970",Oklahoma State University
202,Deron Williams,2006,2017,G,6-3	,200.0,"June 26, 1984",University of Illinois at Urbana-Champaign
203,Derrick Williams,2012,2018,F,6-8	,240.0,"May 25, 1991",University of Arizona
204,Duck Williams,1980,1980,G,6-2	,180.0,"August 2, 1956",University of Notre Dame
205,Earl Williams,1975,1979,C-F,6-7	,230.0,"March 24, 1951",Winston-Salem State University
206,Elliot Williams,2012,2016,G,6-5	,190.0,"June 20, 1989","Duke University, University of Memphis"
207,Eric Williams,1996,2007,F,6-8	,220.0,"July 17, 1972",Providence College
208,Fly Williams,1975,1975,G-F,6-5	,200.0,"February 18, 1953",Austin Peay State University
209,Frank Williams,2003,2005,G,6-3	,212.0,"February 25, 1980",University of Illinois at Urbana-Champaign
210,Freeman Williams,1979,1986,G-F,6-4	,190.0,"May 15, 1956",Portland State University
211,Gene Williams,1970,1970,F,6-7	,235.0,"April 1, 1947",Kansas State University
212,Gus Williams,1976,1987,G,6-2	,175.0,"October 10, 1953",University of Southern California
213,Guy Williams,1985,1986,F,6-9	,200.0,"July 1, 1960","University of San Francisco, Washington State University"
214,Hank Williams,1975,1975,F,6-5	,210.0,"April 28, 1952",Jacksonville University
215,Herb Williams,1982,1999,C-F,6-10	,242.0,"February 16, 1958",Ohio State University
216,Hot Rod Williams,1987,1999,F-C,6-11	,215.0,"August 9, 1962",Tulane University
217,Jason Williams,1999,2011,G,6-1	,190.0,"November 18, 1975","Marshall University, University of Florida"
218,Jawad Williams,2009,2011,F,6-9	,218.0,"February 19, 1983",University of North Carolina
219,Jay Williams,2003,2003,G,6-2	,195.0,"September 10, 1981",Duke University
220,Jayson Williams,1991,1999,F-C,6-9	,240.0,"February 22, 1968",St. John's University
221,Jerome Williams,1997,2005,F,6-9	,206.0,"May 10, 1973",Georgetown University
222,John Williams,1987,1995,F-C,6-8	,235.0,"October 26, 1966",Louisiana State University
223,Jordan Williams,2012,2012,F,6-10	,260.0,"October 11, 1990",University of Maryland
224,Justin Williams,2007,2008,F,6-10	,225.0,"May 12, 1984",University of Wyoming
225,Kenny Williams,1991,1994,F,6-9	,205.0,"June 9, 1969",Barton County Community College
226,Kevin Williams,1984,1989,G,6-2	,175.0,"September 11, 1961",St. John's University
227,Lorenzo Williams,1993,2000,F-C,6-9	,200.0,"July 15, 1969",Stetson University
228,Lou Williams,2006,2018,G,6-1	,175.0,"October 27, 1986",
229,Marcus Williams,2007,2010,G,6-3	,205.0,"December 3, 1985",University of Connecticut
230,Marcus Williams,2008,2009,F,6-7	,205.0,"November 18, 1986",University of Arizona
231,Marvin Williams,2006,2018,F,6-9	,237.0,"June 19, 1986",University of North Carolina
232,Matt Williams,2018,2018,G,6-5	,210.0,"October 14, 1993",University of Central Florida
233,Micheal Williams,1989,1999,G,6-2	,175.0,"July 23, 1966",Baylor University
234,Mike Williams,1990,1990,F,6-8	,255.0,"August 14, 1963","University of Cincinnati, Bradley University"
235,Milt Williams,1971,1975,G,6-2	,182.0,"November 22, 1945",Lincoln University of Missouri
236,Mo Williams,2004,2016,G,6-1	,198.0,"December 19, 1982",University of Alabama
237,Monty Williams,1995,2003,F,6-8	,225.0,"October 8, 1971",University of Notre Dame
238,Nate Williams,1972,1979,F-G,6-5	,215.0,"May 2, 1950",Utah State University
239,Pete Williams,1986,1987,F,6-7	,190.0,"March 10, 1965",University of Arizona
240,Ray Williams,1978,1987,G,6-3	,188.0,"October 14, 1954",University of Minnesota
241,Reggie Williams,1988,1997,F-G,6-7	,190.0,"March 5, 1964",Georgetown University
242,Reggie Williams,2010,2017,F,6-6	,205.0,"September 14, 1986",Virginia Military Institute
243,Rickey Williams,1983,1983,G,6-1	,175.0,"March 12, 1957","University of New Mexico, California State University, Long Beach"
244,Rob Williams,1983,1984,G,6-2	,175.0,"May 5, 1961",University of Houston
245,Ron Williams,1969,1976,G,6-3	,188.0,"September 24, 1944",West Virginia University
246,Sam Williams,1969,1970,G,6-3	,180.0,"January 22, 1945",University of Iowa
247,Sam Williams,1982,1985,F,6-8	,210.0,"March 7, 1959",Arizona State University
248,Scott Williams,1991,2005,F-C,6-10	,230.0,"March 21, 1968",University of North Carolina
249,Sean Williams,2008,2012,C-F,6-10	,235.0,"September 13, 1986",Boston College
250,Shammond Williams,1999,2007,G,6-1	,201.0,"April 5, 1975",University of North Carolina
251,Shawne Williams,2007,2015,F,6-9	,225.0,"February 16, 1986",University of Memphis
252,Shelden Williams,2007,2012,F,6-9	,250.0,"October 21, 1983",Duke University
253,Sly Williams,1980,1986,F-G,6-7	,210.0,"January 26, 1958",University of Rhode Island
254,Terrence Williams,2010,2013,F,6-6	,220.0,"June 28, 1987",University of Louisville
255,Travis Williams,1998,1999,F,6-6	,215.0,"May 27, 1969",South Carolina State University
256,Troy Williams,2017,2018,F,6-7	,218.0,"December 30, 1994",Indiana University
257,Walt Williams,1993,2003,F-G,6-8	,219.0,"April 16, 1970",University of Maryland
258,Ward Williams,1949,1949,F,6-4	,195.0,"June 26, 1923",Indiana University
259,Willie Williams,1971,1971,F,6-7	,200.0,"July 28, 1946",Florida State University
260,Corliss Williamson,1996,2007,F,6-7	,245.0,"December 4, 1973",University of Arkansas
261,John Williamson,1974,1981,G,6-2	,185.0,"November 10, 1951",New Mexico State University
262,Vann Williford,1971,1971,F,6-6	,195.0,"January 26, 1948",North Carolina State University
263,Kevin Willis,1985,2007,F-C,7-0	,220.0,"September 6, 1962",Michigan State University
264,Bill Willoughby,1976,1984,F-C,6-8	,205.0,"May 20, 1957",
265,Dedric Willoughby,2000,2000,G-F,6-3	,180.0,"May 27, 1974","University of New Orleans, Iowa State University"
266,Bob Wilson,1952,1952,G,6-4	,185.0,"March 8, 1926",West Virginia State University
267,Bobby Wilson,1968,1968,F,6-8	,215.0,,University of Kansas
268,Bobby Wilson,1975,1978,G,6-3	,175.0,"January 15, 1951",Wichita State University
269,Bubba Wilson,1980,1980,G,6-3	,175.0,"August 7, 1955",Western Carolina University
270,D.J. Wilson,2018,2018,F,6-10	,234.0,"February 19, 1996",University of Michigan
271,George Wilson,1965,1971,C,6-8	,225.0,"May 9, 1942",University of Cincinnati
272,Isaiah Wilson,1972,1973,G,6-2	,175.0,"May 31, 1948",University of Baltimore
273,Jamil Wilson,2018,2018,F,6-7	,230.0,"November 21, 1990","University of Oregon, Marquette University"
274,Jasper Wilson,1969,1970,F,6-6	,200.0,"July 12, 1947",Southern University and A&M College
275,Jim Wilson,1971,1971,G,5-10	,175.0,,Cheyney University of Pennsylvania
276,Michael Wilson,1984,1987,G,6-4	,175.0,"September 15, 1959",Marquette University
277,Nikita Wilson,1988,1988,F,6-8	,200.0,"February 25, 1964",Louisiana State University
278,Othell Wilson,1985,1987,G,6-0	,190.0,"October 26, 1961",University of Virginia
279,Rick Wilson,1979,1980,G,6-5	,200.0,"February 7, 1956",University of Louisville
280,Ricky Wilson,1988,1988,G,6-3	,195.0,"July 16, 1964",George Mason University
281,Stephen Wilson,1971,1972,G,6-5	,185.0,"October 16, 1948",Hanover College
282,Trevor Wilson,1991,1996,F,6-7	,210.0,"March 16, 1968","University of California, Los Angeles"
283,Kyle Wiltjer,2017,2017,F,6-10	,240.0,"October 20, 1992",Gonzaga University
284,Kennard Winchester,1991,1993,G-F,6-5	,210.0,"September 3, 1966","James Madison University, Averett University"
285,Tony Windis,1960,1960,G,6-1	,160.0,"January 27, 1933",University of Wyoming
286,John Windsor,1964,1964,F,6-8	,215.0,"April 3, 1940",Stanford University
287,Lee Winfield,1970,1976,G,6-2	,174.0,"February 4, 1947",University of North Texas
288,David Wingate,1987,2001,G-F,6-5	,185.0,"December 15, 1963",Georgetown University
289,Dontonio Wingfield,1995,1998,F,6-8	,256.0,"June 23, 1974",University of Cincinnati
290,Harthorne Wingo,1973,1976,F,6-6	,210.0,"September 9, 1947",Friendship Junior College
291,Marv Winkler,1971,1972,G,6-1	,164.0,"February 18, 1948",University of Louisiana at Lafayette
292,Justise Winslow,2016,2018,F,6-7	,225.0,"March 26, 1996",Duke University
293,Rickie Winslow,1988,1988,F,6-8	,225.0,"July 26, 1964",University of Houston
294,Trevor Winter,1999,1999,C,7-0	,275.0,"January 7, 1974",University of Minnesota
295,Brian Winters,1975,1983,G-F,6-4	,185.0,"March 1, 1952",University of South Carolina
296,Voise Winters,1986,1986,F,6-8	,200.0,"October 12, 1962",Bradley University
297,Skip Wise,1976,1976,G,6-2	,170.0,"July 25, 1955",Clemson University
298,Willie Wise,1970,1978,F,6-5	,210.0,"March 3, 1947",Drake University
299,Jeff Withey,2014,2018,C,7-0	,231.0,"March 7, 1990",University of Kansas
300,Luke Witte,1974,1976,C,7-0	,235.0,"October 19, 1950",Ohio State University
301,Greg Wittman,1970,1971,F,6-8	,210.0,"May 10, 1947",Western Carolina University
302,Randy Wittman,1984,1992,G-F,6-6	,210.0,"October 28, 1959",Indiana University
303,Garry Witts,1982,1982,G-F,6-7	,190.0,"July 3, 1959",College of the Holy Cross
304,Dave Wohl,1972,1978,G,6-2	,185.0,"November 2, 1949",University of Pennsylvania
305,Joe Wolf,1988,1999,F-C,6-11	,230.0,"December 17, 1964",University of North Carolina
306,Ruben Wolkowyski,2001,2003,F,6-10	,270.0,"September 30, 1973",
307,Nate Wolters,2014,2018,G,6-4	,190.0,"May 15, 1991",South Dakota State University
308,Al Wood,1982,1987,G-F,6-6	,193.0,"June 2, 1958",University of North Carolina
309,Bob Wood,1950,1950,G,5-10	,,"October 7, 1921",Northern Illinois University
310,Christian Wood,2016,2017,F,6-11	,220.0,"September 27, 1995","University of Nevada, Las Vegas"
311,David Wood,1989,1997,F,6-9	,227.0,"November 30, 1964","University of Nevada, Reno"
