,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
32,Wardell Jackson,1975,1975,F,6-7	,200,"July 18, 1951",Ohio State University
33,Fred Jacobs,1947,1947,F,6-3	,175,"December 2, 1922",University of Denver
34,Casey Jacobsen,2003,2008,G-F,6-6	,215,"March 19, 1981",Stanford University
35,Sam Jacobson,1999,2001,G-F,6-4	,215,"July 22, 1975",University of Minnesota
36,Dave Jamerson,1991,1994,G-F,6-5	,190,"August 13, 1967",Ohio University
37,Aaron James,1975,1979,F,6-8	,210,"October 5, 1952",Grambling State University
38,Bernard James,2013,2015,C,6-10	,240,"February 7, 1985",Florida State University
39,Billy James,1974,1974,G,6-3	,185,"February 11, 1950",Marshall University
40,Damion James,2011,2014,G-F,6-7	,225,"October 7, 1987",University of Texas at Austin
41,Gene James,1949,1951,F,6-4	,180,"February 15, 1925",Marshall University
42,Henry James,1991,1998,F,6-8	,220,"July 29, 1965","South Plains College, St. Mary's University"
43,Jerome James,1999,2009,C,7-0	,300,"November 17, 1975",Florida Agricultural and Mechanical University
44,LeBron James,2004,2018,F-G,6-8	,250,"December 30, 1984",
45,Mike James,2002,2014,G,6-2	,188,"June 23, 1975",Duquesne University
46,Mike James,2018,2018,G,6-1	,189,"August 18, 1990",Lamar University
47,Tim James,2000,2002,F,6-7	,212,"December 26, 1976",University of Miami
48,Antawn Jamison,1999,2014,F,6-8	,223,"June 12, 1976",University of North Carolina
49,Harold Jamison,2000,2002,F,6-8	,260,"November 20, 1976",Clemson University
50,John Janisch,1947,1948,F-G,6-3	,200,"March 15, 1920",Valparaiso University
51,Howie Janotta,1950,1950,F,6-3	,185,"October 19, 1924",Seton Hall University
52,Marko Jaric,2003,2009,G,6-7	,198,"October 12, 1978",
53,Tony Jaros,1947,1951,F-G,6-3	,185,"February 22, 1920",University of Minnesota
54,Jim Jarvis,1968,1969,G,6-1	,175,"March 3, 1943",Oregon State University
55,Sarunas Jasikevicius,2006,2007,G,6-4	,195,"March 5, 1976",University of Maryland
56,Nathan Jawai,2009,2010,C-F,6-10	,280,"October 10, 1986",Midland College
57,Buddy Jeannette*,1948,1950,G,5-11	,175,"September 15, 1917",Washington & Jefferson College
58,Abdul Jeelani,1980,1981,F-C,6-8	,210,"February 10, 1954",University of Wisconsin-Parkside
59,Chris Jefferies,2003,2004,G-F,6-8	,225,"February 13, 1980","University of Arkansas, California State University, Fresno"
60,Othyus Jeffers,2010,2014,G,6-5	,200,"August 5, 1985","University of Illinois at Chicago, Robert Morris University (IL)"
61,Al Jefferson,2005,2018,C-F,6-10	,289,"January 4, 1985",
62,Cory Jefferson,2015,2016,F,6-9	,218,"December 26, 1990",Baylor University
63,Dontell Jefferson,2009,2009,G,6-5	,195,"December 15, 1983",University of Arkansas
64,Richard Jefferson,2002,2018,F,6-7	,233,"June 21, 1980",University of Arizona
65,Jared Jeffries,2003,2013,F,6-11	,230,"November 25, 1981",Indiana University
66,Charles Jenkins,2012,2013,G,6-3	,220,"February 28, 1989",Hofstra University
67,Horace Jenkins,2005,2005,G,6-1	,180,"October 14, 1974",William Paterson University
68,John Jenkins,2013,2017,G,6-4	,215,"March 6, 1991",Vanderbilt University
69,Brandon Jennings,2010,2018,G,6-1	,170,"September 23, 1989",
70,Keith Jennings,1993,1995,G,5-7	,160,"November 2, 1968",East Tennessee State University
71,Chris Jent,1994,1997,F,6-7	,220,"January 11, 1970",Ohio State University
72,Les Jepsen,1991,1992,C,7-0	,237,"June 24, 1967",University of Iowa
73,Jonas Jerebko,2010,2018,F,6-10	,231,"March 2, 1987",
74,Grant Jerrett,2015,2015,F,6-10	,235,"July 8, 1993",University of Arizona
75,Eugene Jeter,2011,2011,G,5-11	,175,"December 2, 1983",University of Portland
76,Hal Jeter,1970,1970,G,6-3	,190,"May 17, 1945",Drake University
77,Yi Jianlian,2008,2012,F,7-0	,240,"October 27, 1987",
78,Britton Johnsen,2004,2005,F,6-10	,210,"July 8, 1979",University of Utah
79,Alexander Johnson,2007,2008,F,6-9	,240,"February 8, 1983",Florida State University
80,Amir Johnson,2006,2018,F-C,6-9	,240,"May 1, 1987",
81,Andy Johnson,1959,1962,F-G,6-5	,215,"November 8, 1932",University of Portland
82,Anthony Johnson,1998,2010,G,6-3	,190,"October 2, 1974",College of Charleston
83,Armon Johnson,2011,2012,G,6-3	,195,"February 23, 1989","University of Nevada, Reno"
84,Arnie Johnson,1949,1953,F-C,6-5	,236,"May 16, 1920",Bemidji State University
85,Avery Johnson,1989,2004,G,5-10	,175,"March 25, 1965","Cameron University, Southern University and A&M College"
86,Brice Johnson,2017,2018,F,6-10	,230,"June 27, 1994",University of North Carolina
87,Buck Johnson,1987,1993,F,6-7	,190,"January 3, 1964",University of Alabama
88,Carldell Johnson,2012,2012,G,5-10	,180,"January 28, 1983",University of Alabama at Birmingham
89,Charles Johnson,1973,1979,G,6-0	,170,"March 31, 1949",University of California
90,Cheese Johnson,1980,1980,F-G,6-6	,195,"September 7, 1957",Wichita State University
91,Chris Johnson,2011,2013,C,6-11	,210,"July 15, 1985",Louisiana State University
92,Chris Johnson,2013,2016,F-G,6-6	,206,"April 29, 1990",University of Dayton
93,Clay Johnson,1982,1984,G,6-4	,175,"July 18, 1956",University of Missouri
94,Clemon Johnson,1979,1988,C-F,6-10	,240,"September 12, 1956",Florida Agricultural and Mechanical University
95,Dakari Johnson,2018,2018,C,7-0	,255,"September 22, 1995",University of Kentucky
96,Darryl Johnson,1996,1996,G,6-1	,170,"October 26, 1965",Michigan State University
97,Dave Johnson,1993,1994,G-F,6-7	,210,"November 16, 1970",Syracuse University
98,DeMarco Johnson,2000,2000,F,6-9	,245,"October 6, 1975",University of North Carolina at Charlotte
99,Dennis Johnson*,1977,1990,G,6-4	,185,"September 18, 1954",Pepperdine University
100,DerMarr Johnson,2001,2008,F,6-9	,201,"May 5, 1980",University of Cincinnati
101,Ed Johnson,1969,1971,C,6-8	,205,"June 17, 1944",Tennessee State University
102,Eddie Johnson,1978,1987,G,6-2	,180,"February 24, 1955",Auburn University
103,Eddie Johnson,1982,1999,F-G,6-7	,215,"May 1, 1959",University of Illinois at Urbana-Champaign
104,Eric Johnson,1990,1990,G,6-2	,205,"February 7, 1966","Baylor University, University of Nebraska"
105,Ervin Johnson,1994,2006,C,6-11	,245,"December 21, 1967",University of New Orleans
106,Frank Johnson,1982,1994,G,6-1	,185,"November 23, 1958",Wake Forest University
107,George Johnson,1971,1974,C,6-11	,245,"June 19, 1947",Stephen F. Austin State University
108,George Johnson,1973,1986,C-F,6-11	,205,"December 18, 1948",Dillard University
109,George Johnson,1979,1986,F-C,6-7	,210,"December 8, 1956",St. John's University
110,Gus Johnson*,1964,1973,F-C,6-6	,230,"December 13, 1938",University of Idaho
111,Harold Johnson,1947,1947,C,6-6	,240,"January 30, 1920",Indiana State University
112,Ivan Johnson,2012,2013,F,6-8	,230,"April 10, 1984","University of Oregon, California State University, San Bernardino"
113,JaJuan Johnson,2012,2012,F,6-10	,221,"February 8, 1989",Purdue University
114,James Johnson,2010,2018,F,6-9	,250,"February 20, 1987",Wake Forest University
115,Joe Johnson,2002,2018,G-F,6-7	,240,"June 29, 1981",University of Arkansas
116,John Johnson,1971,1982,F,6-7	,200,"October 18, 1947",University of Iowa
117,Kannard Johnson,1988,1988,F,6-9	,220,"June 24, 1965",Western Kentucky University
118,Ken Johnson,1986,1986,F,6-8	,240,"November 7, 1962","University of Southern California, Michigan State University"
119,Ken Johnson,2003,2003,F-C,6-11	,240,"February 1, 1978",Ohio State University
120,Kevin Johnson,1988,2000,G,6-1	,180,"March 4, 1966",University of California
121,Larry Johnson,1978,1978,G,6-3	,205,"November 28, 1954",University of Kentucky
122,Larry Johnson,1992,2001,F,6-6	,250,"March 14, 1969","University of Nevada, Las Vegas"
123,Lee Johnson,1981,1981,F,6-11	,205,"June 16, 1957","University of Montana, East Texas State University"
124,Linton Johnson,2004,2009,F,6-8	,205,"June 13, 1980",Tulane University
125,Magic Johnson*,1980,1996,G-F,6-9	,215,"August 14, 1959",Michigan State University
126,Marques Johnson,1978,1990,F-G,6-7	,218,"February 8, 1956","University of California, Los Angeles"
127,Mickey Johnson,1975,1986,F,6-10	,190,"August 31, 1952",Aurora University
128,Neil Johnson,1967,1973,F-C,6-7	,220,"April 17, 1943",Creighton University
129,Nick Johnson,2015,2015,G,6-3	,202,"December 22, 1992",University of Arizona
130,Ollie Johnson,1973,1982,F,6-6	,200,"May 11, 1949",Temple University
131,Omari Johnson,2018,2018,F,6-9	,220,"November 26, 1989",Oregon State University
132,Orlando Johnson,2013,2016,G,6-5	,220,"March 11, 1989","Loyola Marymount University, University of California, Santa Barbara"
133,Ralph Johnson,1950,1953,G,5-11	,170,"December 6, 1921",Huntington University
134,Reggie Johnson,1981,1984,F-C,6-9	,205,"June 25, 1957",University of Tennessee
135,Rich Johnson,1969,1971,C,6-7	,210,"December 18, 1946",Grambling State University
136,Ron Johnson,1961,1961,F,6-8	,215,"July 20, 1938",University of Minnesota
137,Stanley Johnson,2016,2018,F,6-7	,245,"May 29, 1996",University of Arizona
138,Steffond Johnson,1987,1987,F,6-8	,240,"November 4, 1962","Louisiana State University, San Diego State University"
139,Steve Johnson,1982,1991,C-F,6-10	,235,"November 3, 1957",Oregon State University
140,Stew Johnson,1968,1976,F-C,6-8	,220,"August 19, 1944",Murray State University
141,Trey Johnson,2009,2012,G,6-5	,218,"August 30, 1984","Alcorn State University, Jackson State University"
142,Tyler Johnson,2015,2018,G,6-4	,186,"May 7, 1992","California State University, Fresno"
143,Vinnie Johnson,1980,1992,G,6-2	,200,"September 1, 1956",Baylor University
144,Wesley Johnson,2011,2018,F-G,6-7	,215,"July 11, 1987","Iowa State University, Syracuse University"
145,Darius Johnson-Odom,2013,2014,G,6-2	,215,"September 28, 1989",Marquette University
146,Nate Johnston,1990,1990,F,6-8	,210,"December 18, 1966",University of Tampa
147,Neil Johnston*,1952,1959,C,6-8	,210,"February 4, 1929",Ohio State University
148,Jim Johnstone,1983,1983,C-F,6-11	,245,"September 20, 1960",Wake Forest University
149,Nikola Jokic,2016,2018,C-F,6-10	,250,"February 19, 1995",
150,Howie Jolliff,1961,1963,F-C,6-7	,218,"July 20, 1938",Ohio University
151,Alvin Jones,2002,2002,C,6-11	,265,"September 9, 1978",Georgia Institute of Technology
152,Anthony Jones,1987,1990,G-F,6-6	,195,"September 13, 1962","Georgetown University, University of Nevada, Las Vegas"
153,Askia Jones,1995,1995,G,6-5	,200,"December 3, 1971",Kansas State University
154,Bill Jones,1989,1989,F,6-7	,175,"March 18, 1966",University of Iowa
155,Bobby Jones,1975,1986,F,6-9	,210,"December 18, 1951",University of North Carolina
156,Bobby Jones,2007,2008,F,6-7	,215,"January 9, 1984",University of Washington
157,Caldwell Jones,1974,1990,C-F,6-11	,217,"August 4, 1950",Albany State University
158,Charles Jones,1984,1998,F-C,6-9	,215,"April 3, 1957",Albany State University
159,Charles Jones,1985,1989,F,6-8	,215,"January 12, 1962",University of Louisville
160,Charles Jones,1999,2000,G,6-3	,180,"July 17, 1975","Rutgers University, Long Island University"
161,Collis Jones,1972,1975,F,6-7	,203,"July 3, 1949",University of Notre Dame
162,Dahntay Jones,2004,2017,G-F,6-6	,225,"December 27, 1980","Rutgers University, Duke University"
163,Damian Jones,2017,2018,F-C,7-0	,245,"June 30, 1995",Vanderbilt University
164,Damon Jones,1999,2009,G,6-3	,185,"August 25, 1976",University of Houston
165,DeQuan Jones,2013,2013,F,6-8	,221,"June 20, 1990",University of Miami
166,Derrick Jones,2017,2018,F,6-7	,190,"February 15, 1997","University of Nevada, Las Vegas"
167,Dominique Jones,2011,2013,G,6-4	,215,"October 15, 1988",University of South Florida
168,Dontae' Jones,1998,1998,F,6-8	,220,"June 2, 1975","Northeast Mississippi Community College, Mississippi State University"
169,Dwayne Jones,2006,2010,F-C,6-11	,250,"June 9, 1983",Saint Joseph's University
170,Dwight Jones,1974,1983,F-C,6-10	,210,"February 27, 1952",University of Houston
171,Earl Jones,1985,1986,C,7-0	,210,"January 13, 1961",University of the District of Columbia
172,Eddie Jones,1995,2008,G-F,6-6	,190,"October 20, 1971",Temple University
173,Edgar Jones,1981,1986,F-C,6-10	,225,"June 17, 1956","University of Nevada, Reno"
174,Fred Jones,2003,2009,G-F,6-4	,210,"March 11, 1979",University of Oregon
175,Hutch Jones,1983,1984,F,6-8	,190,"September 1, 1959","State University of New York College at Buffalo, Vanderbilt University"
176,Jake Jones,1972,1972,G,6-3	,180,"May 9, 1949",Assumption College
177,Jalen Jones,2018,2018,G,6-7	,223,"May 27, 1993",Texas A&M University
178,James Jones,2004,2017,F-G,6-8	,218,"October 4, 1980",University of Miami
179,Jimmy Jones,1968,1977,G,6-4	,188,"January 1, 1945",Grambling State University
180,Johnny Jones,1968,1969,F,6-7	,205,"March 12, 1943","California State University, Los Angeles"
181,Jumaine Jones,2000,2007,F,6-8	,218,"February 10, 1979",University of Georgia
182,K.C. Jones*,1959,1967,G,6-1	,200,"May 25, 1932",University of San Francisco
183,Kevin Jones,2013,2013,F,6-8	,251,"August 25, 1989",West Virginia University
184,Larry Jones,1965,1974,G-F,6-2	,180,"September 22, 1942",University of Toledo
185,Major Jones,1980,1985,F,6-9	,225,"July 9, 1953",Albany State University
186,Mark Jones,1984,1984,G,6-1	,175,"April 10, 1961",St. Bonaventure University
187,Mark Jones,2005,2005,G,6-6	,215,"May 25, 1975","University of Minnesota, University of Central Florida"
188,Nick Jones,1968,1973,G,6-2	,190,"March 28, 1945",University of Oregon
189,Ozell Jones,1985,1986,C-F,6-11	,235,"November 20, 1960","Wichita State University, California State University, Fullerton"
190,Perry Jones,2013,2015,F,6-11	,235,"September 24, 1991",Baylor University
191,Popeye Jones,1994,2004,F,6-8	,250,"June 17, 1970",Murray State University
192,Rich Jones,1970,1977,F-C,6-6	,220,"December 27, 1946",University of Memphis
193,Robin Jones,1977,1978,F-C,6-9	,225,"February 2, 1954",Saint Louis University
194,Sam Jones*,1958,1969,G-F,6-4	,198,"June 24, 1933",North Carolina Central University
195,Shelton Jones,1989,1989,F,6-9	,210,"April 6, 1966",St. John's University
196,Solomon Jones,2007,2014,F,6-10	,230,"July 16, 1984",University of South Florida
197,Steve Jones,1968,1976,G-F,6-5	,205,"October 17, 1942",University of Oregon
198,Terrence Jones,2013,2017,F,6-9	,252,"January 9, 1992",University of Kentucky
199,Tyus Jones,2016,2018,G,6-2	,195,"May 10, 1996",Duke University
200,Wah Wah Jones,1950,1952,F,6-4	,225,"July 14, 1926",University of Kentucky
201,Wali Jones,1965,1976,G,6-2	,180,"February 14, 1942",Villanova University
202,Wil Jones,1970,1978,F,6-8	,205,"February 27, 1947",Albany State University
203,Willie Jones,1961,1965,G,6-3	,185,"June 29, 1936",Northwestern University
204,Adonis Jordan,1994,1999,G,5-11	,170,"August 21, 1970",University of Kansas
205,Charles Jordan,1976,1976,F,6-8	,220,"January 31, 1954",Canisius College
206,DeAndre Jordan,2009,2018,C,6-11	,265,"July 21, 1988",Texas A&M University
207,Eddie Jordan,1978,1984,G,6-1	,170,"January 29, 1955",Rutgers University
208,Jerome Jordan,2012,2015,C,7-0	,253,"September 29, 1986",University of Tulsa
209,Michael Jordan*,1985,2003,G-F,6-6	,195,"February 17, 1963",University of North Carolina
210,Reggie Jordan,1994,2000,G,6-4	,195,"January 26, 1968",New Mexico State University
211,Thomas Jordan,1993,1993,F-C,6-10	,220,"May 23, 1968",Oklahoma State University
212,Walter Jordan,1981,1981,F,6-7	,198,"February 19, 1956",Purdue University
213,Phil Jordon,1957,1963,C-F,6-10	,205,"September 12, 1933",Whitworth
214,Johnny Jorgensen,1948,1949,G-F,6-2	,185,"December 28, 1921",DePaul University
215,Noble Jorgensen,1947,1953,C,6-9	,228,"May 18, 1925",University of Iowa
216,Roger Jorgensen,1947,1947,C-F,6-5	,200,"September 2, 1920",Ohio State University
217,Cory Joseph,2012,2018,G,6-3	,193,"August 20, 1991",University of Texas at Austin
218,Garth Joseph,2001,2001,C,7-2	,315,"August 8, 1973",College of Saint Rose
219,Kris Joseph,2013,2013,F,6-7	,210,"December 17, 1988",Syracuse University
220,Yvon Joseph,1986,1986,C,6-11	,245,"October 31, 1957",Georgia Institute of Technology
221,Kevin Joyce,1974,1976,G,6-3	,190,"June 27, 1951",University of South Carolina
222,Butch Joyner,1969,1969,F,6-5	,200,"April 26, 1945",Indiana University
223,Jeff Judkins,1979,1983,G-F,6-6	,185,"March 23, 1956",University of Utah
