,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
49,Tom Kerwin,1968,1968,F,6-7	,210.0,"July 7, 1944",Centenary College of Louisiana
50,Alec Kessler,1991,1994,F-C,6-11	,230.0,"January 13, 1967",University of Georgia
51,Lari Ketner,2000,2001,F-C,6-9	,277.0,"February 1, 1977",University of Massachusetts Amherst
52,Julius Keye,1970,1975,F-C,6-10	,200.0,"September 5, 1946",Alcorn State University
53,Randolph Keys,1989,1996,F-G,6-7	,195.0,"April 19, 1966",University of Southern Mississippi
54,Viktor Khryapa,2005,2008,F,6-9	,210.0,"August 3, 1982",
55,Jason Kidd*,1995,2013,G,6-4	,205.0,"March 23, 1973",University of California
56,Warren Kidd,1994,1994,F,6-9	,235.0,"September 9, 1970",Middle Tennessee State University
57,Michael Kidd-Gilchrist,2013,2018,F,6-7	,232.0,"September 26, 1993",University of Kentucky
58,Irv Kiffin,1980,1980,F,6-9	,225.0,"August 8, 1951",Oklahoma Baptist University
59,Jack Kiley,1952,1953,G,6-1	,170.0,"January 5, 1929",Syracuse University
60,Earnie Killum,1971,1971,G,6-3	,180.0,"June 11, 1948",Stetson University
61,Carl Kilpatrick,1980,1980,C,6-10	,230.0,"May 16, 1956",University of Louisiana at Monroe
62,Sean Kilpatrick,2015,2018,G,6-4	,210.0,"January 6, 1990",University of Cincinnati
63,Toby Kimball,1967,1975,F-C,6-6	,220.0,"September 7, 1942",University of Connecticut
64,Bo Kimble,1991,1993,G,6-4	,190.0,"April 9, 1966","University of Southern California, Loyola Marymount University"
65,Stan Kimbrough,1990,1993,G,5-11	,153.0,"April 24, 1966","University of Central Florida, Xavier University"
66,Chad Kinch,1981,1981,G,6-4	,190.0,"May 22, 1958",University of North Carolina at Charlotte
67,Albert King,1982,1992,F-G,6-6	,190.0,"December 17, 1959",University of Maryland
68,Bernard King*,1978,1993,F,6-7	,205.0,"December 4, 1956",University of Tennessee
69,Chris King,1994,1999,F,6-8	,215.0,"July 24, 1969",Wake Forest University
70,Dan King,1955,1955,F,6-6	,220.0,"January 7, 1931",Western Kentucky University
71,Frankie King,1996,1997,G,6-1	,185.0,"June 6, 1972",Western Carolina University
72,George King,1952,1958,G,6-0	,175.0,"August 16, 1928",University of Charleston
73,Gerard King,1999,2001,F,6-9	,230.0,"November 25, 1972",Nicholls State University
74,Jim King,1964,1973,G,6-2	,175.0,"February 7, 1941",University of Tulsa
75,Jimmy King,1996,1997,G,6-5	,210.0,"August 9, 1973",University of Michigan
76,Loyd King,1972,1973,G,6-2	,180.0,"May 29, 1949",Virginia Polytechnic Institute and State University
77,Maurice King,1960,1963,G,6-2	,195.0,"March 12, 1935",University of Kansas
78,Reggie King,1980,1985,F,6-6	,225.0,"February 14, 1957",University of Alabama
79,Rich King,1992,1995,C,7-2	,260.0,"April 4, 1969",University of Nebraska
80,Ron King,1974,1974,G,6-4	,185.0,"July 11, 1951",Florida State University
81,Stacey King,1990,1997,F-C,6-11	,230.0,"January 29, 1967",University of Oklahoma
82,Tom King,1947,1947,G,6-0	,165.0,"March 9, 1924",University of Michigan
83,Bob Kinney,1949,1950,C-F,6-6	,215.0,"September 16, 1920",Rice University
84,Tarence Kinsey,2007,2009,G,6-6	,185.0,"March 21, 1984",University of South Carolina
85,Andrei Kirilenko,2002,2015,F,6-9	,220.0,"February 18, 1981",
86,Alex Kirk,2015,2015,C,7-0	,245.0,"November 14, 1991",University of New Mexico
87,Walt Kirk,1949,1952,G-F,6-3	,173.0,"September 3, 1924",University of Illinois at Urbana-Champaign
88,Wilber Kirkland,1970,1970,F,6-7	,190.0,,Cheyney University of Pennsylvania
89,Jim Kissane,1969,1969,F,6-7	,210.0,"August 17, 1946",Boston College
90,Doug Kistler,1962,1962,F,6-9	,210.0,"March 21, 1938",Duke University
91,Curtis Kitchen,1987,1987,F,6-9	,235.0,"January 30, 1964",University of South Florida
92,Greg Kite,1984,1995,C,6-11	,250.0,"August 5, 1961",Brigham Young University
93,Kerry Kittles,1997,2005,G,6-5	,179.0,"June 12, 1974",Villanova University
94,Maxi Kleber,2018,2018,F,6-10	,220.0,"January 29, 1992",
95,Joe Kleine,1986,2000,C,6-11	,255.0,"January 4, 1962","University of Notre Dame, University of Arkansas"
96,Linas Kleiza,2006,2013,F,6-8	,245.0,"January 3, 1985",University of Missouri
97,Leo Klier,1949,1950,F-G,6-2	,170.0,"May 21, 1923",University of Notre Dame
98,Herm Klotz,1948,1948,G,5-7	,150.0,"October 21, 1921",Villanova University
99,Duane Klueh,1950,1951,G,6-3	,175.0,"January 6, 1926",Indiana State University
100,Lonnie Kluttz,1971,1971,F,6-7	,220.0,"September 17, 1945",North Carolina Agricultural and Technical State University
101,Billy Knight,1975,1985,G-F,6-6	,195.0,"June 9, 1952",University of Pittsburgh
102,Bob Knight,1955,1955,G-F,6-2	,185.0,"April 30, 1929",
103,Brandin Knight,2005,2005,G,6-0	,180.0,"December 16, 1981",University of Pittsburgh
104,Brandon Knight,2012,2017,G,6-3	,189.0,"December 2, 1991",University of Kentucky
105,Brevin Knight,1998,2009,G,5-10	,173.0,"November 8, 1975",Stanford University
106,Negele Knight,1991,1999,G,6-1	,175.0,"March 6, 1967",University of Dayton
107,Ron Knight,1971,1972,F,6-7	,215.0,"August 4, 1947","California State University, Los Angeles"
108,Toby Knight,1978,1982,F,6-9	,210.0,"May 3, 1955",University of Notre Dame
109,Travis Knight,1997,2003,C,7-0	,235.0,"September 13, 1974",University of Connecticut
110,Lee Knorek,1947,1950,C,6-7	,215.0,"July 15, 1921",University of Detroit Mercy
111,Dick Knostman,1954,1954,C,6-6	,215.0,"August 9, 1931",Kansas State University
112,Rod Knowles,1969,1969,F-C,6-9	,215.0,"February 27, 1946",Davidson College
113,Bart Kofoed,1988,1993,G,6-4	,210.0,"March 24, 1964","Hastings College, University of Nebraska at Kearney"
114,Don Kojis,1964,1975,F,6-5	,215.0,"January 15, 1939",Marquette University
115,Milo Komenich,1950,1950,F-C,6-7	,212.0,"June 22, 1920",University of Wyoming
116,Howard Komives,1965,1974,G,6-1	,185.0,"May 9, 1941",Bowling Green State University
117,Jon Koncak,1986,1996,C-F,7-0	,250.0,"May 17, 1963",Southern Methodist University
118,Tom Kondla,1969,1969,C,6-8	,225.0,"November 30, 1946",University of Minnesota
119,Bud Koper,1965,1965,G,6-6	,210.0,"August 9, 1942",Oklahoma City University
120,Joe Kopicki,1983,1985,F,6-9	,240.0,"June 12, 1960",University of Detroit Mercy
121,Furkan Korkmaz,2018,2018,G,6-7	,185.0,"July 24, 1997",
122,Frank Kornet,1990,1991,F,6-9	,225.0,"January 27, 1967",Vanderbilt University
123,Luke Kornet,2018,2018,F,7-1	,250.0,"July 15, 1995",Vanderbilt University
124,Yaroslav Korolev,2006,2007,F,6-9	,203.0,"May 7, 1987",
125,Kyle Korver,2004,2018,G-F,6-7	,212.0,"March 17, 1981",Creighton University
126,Tony Koski,1969,1969,F,6-8	,215.0,"June 26, 1946",Providence College
127,Len Kosmalski,1975,1976,C,7-0	,245.0,"November 29, 1951",University of Tennessee
128,Andy Kostecka,1949,1949,F,6-3	,203.0,"February 10, 1921",Georgetown University
129,Harold Kottman,1947,1947,C,6-8	,220.0,"August 22, 1922",Culver-Stockton College
130,Kosta Koufos,2009,2018,C,7-0	,265.0,"February 24, 1989",Ohio State University
131,Tom Kozelko,1974,1976,F,6-8	,220.0,"July 1, 1951",University of Toledo
132,Ronald Kozlicki,1968,1968,F,6-7	,215.0,"December 12, 1944",Northwestern University
133,Arvid Kramer,1980,1980,C,6-9	,220.0,"October 2, 1956",Augustana College (SD)
134,Barry Kramer,1965,1970,F-G,6-4	,200.0,"November 10, 1942",New York University
135,Joel Kramer,1979,1983,F-C,6-7	,203.0,"November 30, 1955",San Diego State University
136,Steven Kramer,1968,1970,G-F,6-5	,200.0,"January 1, 1945",Brigham Young University
137,Dan Kraus,1949,1949,G,6-0	,195.0,"February 13, 1923",Georgetown University
138,Herb Krautblatt,1949,1949,G,6-1	,190.0,"November 19, 1926",Rider University
139,Viacheslav Kravtsov,2013,2014,C,7-0	,260.0,"August 25, 1987",
140,Jim Krebs,1958,1964,C-F,6-8	,230.0,"September 8, 1935",Southern Methodist University
141,Wayne Kreklow,1981,1981,G,6-4	,175.0,"January 4, 1957",Drake University
142,Tommy Kron,1967,1970,G,6-5	,200.0,"February 28, 1943",University of Kentucky
143,Tom Kropp,1976,1977,G,6-3	,205.0,"February 12, 1953",University of Nebraska at Kearney
144,Nenad Krstic,2005,2011,C,7-0	,240.0,"July 25, 1983",
145,Larry Krystkowiak,1987,1997,F-C,6-9	,220.0,"September 23, 1964",University of Montana
146,Steve Kuberski,1970,1978,F-C,6-8	,215.0,"November 6, 1947",Bradley University
147,Leo Kubiak,1950,1950,G,5-11	,160.0,"December 25, 1927",Bowling Green State University
148,Bruce Kuczenski,1984,1984,F,6-10	,230.0,"February 3, 1961",University of Connecticut
149,Frank Kudelka,1950,1953,G-F,6-2	,193.0,"June 25, 1925",Saint Mary's College of California
150,John Kuester,1978,1980,G,6-2	,180.0,"February 6, 1955",University of North Carolina
151,Ray Kuka,1948,1949,F,6-3	,200.0,"February 17, 1922",University of Notre Dame
152,Toni Kukoc,1994,2006,F,6-10	,192.0,"September 18, 1968",
153,Kevin Kunnert,1974,1982,C-F,7-0	,230.0,"November 11, 1951",University of Iowa
154,Terry Kunze,1968,1968,G-F,6-4	,210.0,"March 11, 1943",University of Minnesota
155,Mitch Kupchak,1977,1986,F-C,6-9	,230.0,"May 24, 1954",University of North Carolina
156,C.J. Kupec,1976,1978,F-C,6-6	,220.0,"January 16, 1953",University of Michigan
157,Rob Kurz,2009,2009,F,6-9	,232.0,"March 5, 1985",University of Notre Dame
158,Ibo Kutluay,2005,2005,G,6-6	,200.0,"July 1, 1974",
159,Kyle Kuzma,2018,2018,F,6-9	,220.0,"July 24, 1995",University of Utah
160,Ognjen Kuzmic,2014,2015,C,7-1	,251.0,"May 16, 1990",
161,Mindaugas Kuzminskas,2017,2018,F,6-9	,215.0,"October 19, 1989",
