,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
115,Marco Belinelli,2008,2018,G-F,6-5	,210,"March 25, 1986",
116,Charlie Bell,2002,2011,G,6-3	,200,"March 12, 1979",Michigan State University
117,Dennis Bell,1974,1976,F,6-5	,185,"June 2, 1951",Drake University
118,Jordan Bell,2018,2018,F,6-9	,224,"January 7, 1995",University of Oregon
119,Raja Bell,2001,2012,G,6-5	,204,"September 19, 1976","Boston University, Florida International University"
120,Troy Bell,2004,2004,G,6-1	,180,"November 10, 1980",Boston College
121,Whitey Bell,1960,1961,G,6-0	,180,"September 13, 1932",North Carolina State University
122,Walt Bellamy*,1962,1975,C,6-11	,225,"July 24, 1939",Indiana University
123,DeAndre' Bembry,2017,2018,F,6-6	,210,"July 4, 1994",Saint Joseph's University
124,Irv Bemoras,1954,1957,F-G,6-3	,185,"November 18, 1930",University of Illinois at Urbana-Champaign
125,Leon Benbow,1975,1976,G,6-4	,185,"July 23, 1950",Jacksonville University
126,Dragan Bender,2017,2018,F,7-1	,225,"November 17, 1997",
127,Jonathan Bender,2000,2010,F,6-11	,202,"January 30, 1981",
128,Jerrelle Benimon,2015,2015,F,6-8	,245,"August 1, 1991","Georgetown University, Towson University"
129,Benoit Benjamin,1986,2000,C,7-0	,250,"November 22, 1964",Creighton University
130,Corey Benjamin,1999,2003,G,6-6	,200,"February 24, 1978",Oregon State University
131,Anthony Bennett,2014,2017,F,6-8	,245,"March 14, 1993","University of Nevada, Las Vegas"
132,Elmer Bennett,1995,1997,G,6-0	,170,"February 13, 1970",University of Notre Dame
133,Mario Bennett,1996,2000,F,6-6	,235,"August 1, 1973",Arizona State University
134,Mel Bennett,1976,1982,F,6-7	,200,"January 4, 1955",University of Pittsburgh
135,Spider Bennett,1969,1969,G,6-3	,190,"August 4, 1943",Winston-Salem State University
136,Tony Bennett,1993,1995,G,6-0	,175,"June 1, 1969",University of Wisconsin-Green Bay
137,Winston Bennett,1990,1992,F,6-7	,210,"February 9, 1965",University of Kentucky
138,David Benoit,1992,2001,F,6-8	,220,"May 9, 1968",University of Alabama
139,Keith Benson,2012,2012,C,6-11	,240,"August 13, 1988",Oakland University
140,Kent Benson,1978,1988,C,6-10	,235,"December 27, 1954",Indiana University
141,Ben Bentil,2017,2017,F,6-9	,235,"March 29, 1995",Providence College
142,Gene Berce,1950,1950,G-F,5-11	,175,"November 22, 1926",Marquette University
143,Gary Bergen,1957,1957,C,6-8	,210,"July 16, 1932",University of Utah
144,Larry Bergh,1970,1970,F,6-8	,210,"April 2, 1945",Weber State University
145,Ricky Berry,1989,1989,F,6-8	,205,"October 6, 1964","Oregon State University, San Jose State University"
146,Walter Berry,1987,1989,F,6-8	,215,"May 14, 1964",St. John's University
147,Davis Bertans,2017,2018,F,6-10	,210,"November 12, 1992",
148,Del Beshore,1979,1980,G,5-11	,165,"November 29, 1956",California University of Pennslyvania
149,Travis Best,1996,2005,G,5-11	,182,"July 12, 1972",Georgia Institute of Technology
150,Patrick Beverley,2013,2018,G,6-1	,185,"July 12, 1988",University of Arkansas
151,Sim Bhullar,2015,2015,C,7-5	,360,"December 2, 1992",New Mexico State University
152,Wesley Bialosuknia,1968,1968,G,6-2	,185,"June 8, 1945",University of Connecticut
153,Al Bianchi,1957,1966,G,6-3	,185,"March 26, 1932",Bowling Green State University
154,Hank Biasatti,1947,1947,G,5-11	,175,"January 14, 1922",Long Island University
155,Henry Bibby,1973,1981,G,6-1	,185,"November 24, 1949","University of California, Los Angeles"
156,Mike Bibby,1999,2012,G,6-1	,190,"May 13, 1978",University of Arizona
157,Ed Biedenbach,1969,1969,G,6-1	,175,"August 12, 1945",North Carolina State University
158,Andris Biedrins,2005,2014,C,6-11	,240,"April 2, 1986",
159,Don Bielke,1956,1956,C,6-7	,240,,Valparaiso University
160,Bob Bigelow,1976,1979,F-G,6-7	,215,"December 26, 1953",University of Pennsylvania
161,Lionel Billingy,1975,1975,F-C,6-9	,215,"August 31, 1952",Duquesne University
162,Chauncey Billups,1998,2014,G,6-3	,202,"September 25, 1976",University of Colorado
163,Dave Bing*,1967,1978,G,6-3	,180,"November 24, 1943",Syracuse University
164,Joe Binion,1987,1987,F,6-8	,235,"March 26, 1961",North Carolina Agricultural and Technical State University
165,Khem Birch,2018,2018,C-F,6-9	,220,"September 28, 1992","University of Pittsburgh, University of Nevada, Las Vegas"
166,Jabari Bird,2018,2018,G,6-6	,197,"July 3, 1994",University of California
167,Jerry Bird,1959,1959,F,6-6	,210,"February 2, 1935",University of Kentucky
168,Larry Bird*,1980,1992,F,6-9	,220,"December 7, 1956",Indiana State University
169,Otis Birdsong,1978,1989,G,6-3	,190,"December 9, 1955",University of Houston
170,Gale Bishop,1949,1949,F,6-3	,195,"June 4, 1922",Washington State University
171,Bismack Biyombo,2012,2018,C-F,6-9	,255,"August 28, 1992",
172,Nemanja Bjelica,2016,2018,F,6-10	,240,"May 9, 1988",
173,Uwe Blab,1986,1990,C,7-1	,252,"March 26, 1962",Indiana University
174,Charlie Black,1949,1952,F-C,6-5	,200,"June 15, 1921",University of Kansas
175,Norman Black,1981,1981,G,6-5	,185,"November 12, 1957",Saint Joseph's University
176,Tarik Black,2015,2018,C-F,6-9	,250,"November 22, 1991","University of Memphis, University of Kansas"
177,Tom Black,1971,1971,C,6-10	,220,"July 9, 1941",South Dakota State University
178,Rolando Blackman,1982,1994,G,6-6	,190,"February 26, 1959",Kansas State University
179,Alex Blackwell,1993,1993,F,6-6	,250,"June 27, 1970",Monmouth University
180,Cory Blackwell,1985,1985,F,6-6	,210,"March 27, 1963",University of Wisconsin
181,James Blackwell,1995,1995,G,6-0	,190,"February 25, 1968",Dartmouth College
182,Nate Blackwell,1988,1988,G,6-4	,170,"February 15, 1965",Temple University
183,DeJuan Blair,2010,2016,F-C,6-7	,270,"April 22, 1989",University of Pittsburgh
184,Steve Blake,2004,2016,G,6-3	,172,"February 26, 1980",University of Maryland
185,Antonio Blakeney,2018,2018,G,6-4	,197,"October 4, 1996",Louisiana State University
186,Will Blalock,2007,2007,G,6-0	,205,"September 8, 1983",Iowa State University
187,George Blaney,1962,1962,G,6-1	,175,"November 12, 1939",College of the Holy Cross
188,Lance Blanks,1991,1993,G,6-4	,190,"September 9, 1966","University of Virginia, University of Texas at Austin"
189,Ricky Blanton,1993,1993,F,6-7	,215,"April 21, 1966",Louisiana State University
190,Andray Blatche,2006,2014,F,6-11	,235,"August 22, 1986",
191,Mookie Blaylock,1990,2002,G,6-0	,180,"March 20, 1967","Midland College, University of Oklahoma"
192,Eric Bledsoe,2011,2018,G,6-1	,205,"December 9, 1989",University of Kentucky
193,Leon Blevins,1951,1951,G,6-2	,160,"June 25, 1926",University of Arizona
194,John Block,1967,1976,F-C,6-9	,207,"April 16, 1944",University of Southern California
195,Mike Bloom,1948,1949,F-C,6-6	,190,"January 14, 1915",Temple University
196,Corie Blount,1994,2004,F,6-9	,240,"January 4, 1969",University of Cincinnati
197,Mark Blount,2001,2009,C,7-0	,230,"November 30, 1975",University of Pittsburgh
198,Vander Blue,2014,2018,G,6-4	,200,"July 17, 1992",Marquette University
199,Ray Blume,1982,1982,G,6-4	,185,"September 23, 1958",Oregon State University
200,Nelson Bobb,1950,1953,G,6-0	,170,"February 25, 1924",Temple University
201,Tony Bobbitt,2005,2005,G,6-4	,190,"October 22, 1979",University of Cincinnati
202,Bucky Bockhorn,1959,1965,G,6-4	,200,"July 8, 1933",University of Dayton
203,Tom Boerwinkle,1969,1978,C,7-0	,265,"August 23, 1945",University of Tennessee
204,Keith Bogans,2004,2014,G-F,6-5	,215,"May 12, 1980",University of Kentucky
205,Bogdan Bogdanovic,2018,2018,G,6-6	,205,"August 18, 1992",
206,Bojan Bogdanovic,2015,2018,G-F,6-8	,216,"April 18, 1989",
207,Muggsy Bogues,1988,2001,G,5-3	,136,"January 9, 1965",Wake Forest University
208,Andrew Bogut,2006,2018,C,7-0	,260,"November 28, 1984",University of Utah
209,Etdrick Bohannon,1998,2001,F,6-9	,220,"May 29, 1973","University of Arizona, University of Tennessee, Auburn University at Montgomery"
210,Manute Bol,1986,1995,C,7-7	,200,"October 16, 1962",University of Bridgeport
211,Bill Bolger,1954,1954,F,6-5	,205,"August 21, 1931",Georgetown University
212,Joel Bolomboy,2017,2018,F,6-9	,235,"January 28, 1994",Weber State University
213,Doug Bolstorff,1958,1958,G,6-4	,195,"October 29, 1931",University of Minnesota
214,George Bon Salle,1962,1962,F,6-8	,220,"July 1, 1935",University of Illinois at Urbana-Champaign
215,Phil Bond,1978,1978,G,6-2	,175,"July 27, 1954",University of Louisville
216,Walter Bond,1993,1995,G,6-5	,200,"February 1, 1969",University of Minnesota
217,Dexter Boney,1997,1997,G,6-4	,185,"April 27, 1970","University of Nevada, Las Vegas"
218,Ron Bonham,1965,1968,F,6-5	,192,"May 31, 1942",University of Cincinnati
219,Anthony Bonner,1991,1996,F,6-8	,215,"June 8, 1968",Saint Louis University
220,Matt Bonner,2005,2016,F,6-10	,235,"April 5, 1980",University of Florida
221,Butch Booker,1970,1970,C,6-10	,230,"July 20, 1945",Cheyney University of Pennsylvania
222,Devin Booker,2016,2018,G,6-6	,206,"October 30, 1996",University of Kentucky
223,Melvin Booker,1996,1997,G,6-1	,185,"August 20, 1972",University of Missouri
224,Trevor Booker,2011,2018,F,6-8	,228,"November 25, 1987",Clemson University
225,Josh Boone,2007,2010,F-C,6-10	,237,"November 21, 1984",University of Connecticut
226,Ron Boone,1969,1981,G-F,6-2	,200,"September 6, 1946",Idaho State University
227,Calvin Booth,2000,2009,C,6-11	,230,"May 7, 1976",Pennsylvania State University
228,Keith Booth,1998,1999,F,6-6	,226,"October 9, 1974",University of Maryland
229,Bob Boozer,1961,1971,F,6-8	,215,"April 26, 1937",Kansas State University
230,Carlos Boozer,2003,2015,F-C,6-9	,258,"November 20, 1981",Duke University
231,Curtis Borchardt,2004,2005,C,7-0	,240,"September 13, 1980",Stanford University
232,Jake Bornheimer,1949,1950,F-C,6-5	,200,"June 29, 1927",Muhlenberg College
233,Lazaro Borrell,2000,2000,F,6-8	,220,"September 20, 1972",
234,Ike Borsavage,1951,1951,C-F,6-8	,220,"July 25, 1924",Temple University
235,Vince Boryla,1950,1954,F,6-5	,210,"March 11, 1927",University of Denver
236,Chris Bosh,2004,2016,F-C,6-11	,235,"March 24, 1984",Georgia Institute of Technology
237,Jim Bostic,1978,1978,F,6-7	,225,"January 28, 1953",New Mexico State University
238,Lawrence Boston,1980,1980,F,6-8	,225,"May 18, 1956",University of Maryland
239,Tom Boswell,1976,1984,F-C,6-9	,220,"October 2, 1953","South Carolina State University, University of South Carolina"
240,Chris Boucher,2018,2018,F,6-10	,182,"January 11, 1993",University of Oregon
241,Ruben Boumtje-Boumtje,2002,2004,C,7-0	,257,"May 20, 1978",Georgetown University
242,Don Boven,1950,1953,F-G,6-4	,210,"March 6, 1925",Western Michigan University
243,Cal Bowdler,2000,2002,F,6-10	,245,"March 31, 1977",Old Dominion University
244,Bruce Bowen,1997,2009,F,6-7	,185,"June 14, 1971","California State University, Fullerton"
245,Ryan Bowen,2000,2010,F,6-7	,215,"November 20, 1975",University of Iowa
246,Tommie Bowens,1968,1970,F-C,6-8	,220,"July 7, 1940",Grambling State University
247,Anthony Bowie,1989,1998,G-F,6-6	,190,"November 9, 1963",University of Oklahoma
248,Sam Bowie,1985,1995,C-F,7-1	,235,"March 17, 1961",University of Kentucky
249,Orbie Bowling,1968,1968,C,6-10	,215,"March 21, 1939",University of Tennessee
250,Ira Bowman,2000,2002,G,6-5	,195,"June 11, 1973","Providence College, University of Pennsylvania"
251,Nate Bowman,1967,1972,C,6-10	,230,"March 19, 1943",Wichita State University
252,Donnie Boyce,1996,1997,G,6-5	,196,"September 2, 1973",University of Colorado
253,Dennis Boyd,1979,1979,G,6-1	,175,"May 21, 1954",University of Detroit Mercy
254,Freddie Boyd,1973,1978,G,6-2	,180,"June 13, 1950",Oregon State University
255,Ken Boyd,1975,1975,F,6-5	,195,"March 25, 1952",Boston University
256,Earl Boykins,1999,2012,G,5-5	,135,"June 2, 1976",Eastern Michigan University
257,Harry Boykoff,1950,1951,C,6-10	,225,"July 24, 1922",St. John's University
258,Winford Boynes,1979,1981,G-F,6-6	,185,"May 17, 1957",University of San Francisco
259,Cedric Bozeman,2007,2007,G,6-6	,207,"March 7, 1983","University of California, Los Angeles"
260,Steve Bracey,1973,1975,G,6-1	,175,"August 1, 1950",University of Tulsa
261,Craig Brackins,2011,2012,F,6-10	,230,"October 9, 1987",Iowa State University
262,Gary Bradds,1965,1971,F,6-8	,210,"July 26, 1942",Ohio State University
263,Alex Bradley,1982,1982,F,6-6	,215,"October 30, 1959",Villanova University
264,Alonzo Bradley,1978,1980,F,6-6	,190,"October 16, 1953",Texas Southern University
265,Avery Bradley,2011,2018,G,6-2	,180,"November 26, 1990",University of Texas at Austin
266,Bill Bradley,1968,1968,G,5-11	,165,"June 16, 1941",
267,Bill Bradley*,1968,1977,F-G,6-5	,205,"July 28, 1943",Princeton University
268,Charles Bradley,1982,1984,G,6-5	,215,"May 16, 1959",University of Wyoming
269,Dudley Bradley,1980,1989,G-F,6-6	,195,"March 19, 1957",University of North Carolina
270,Jim Bradley,1974,1976,F,6-8	,215,"March 16, 1952",Northern Illinois University
271,Joe Bradley,1950,1950,G,6-3	,175,"September 24, 1928",Oklahoma State University
272,Michael Bradley,2002,2006,F-C,6-10	,245,"April 18, 1979","University of Kentucky, Villanova University"
273,Shawn Bradley,1994,2005,C,7-6	,235,"March 22, 1972",Brigham Young University
274,Tony Bradley,2018,2018,F-C,6-11	,240,"January 8, 1998",University of North Carolina
275,Mark Bradtke,1997,1997,C-F,6-10	,265,"September 27, 1968",
276,Marques Bragg,1996,1996,F,6-8	,230,"March 24, 1970",Providence College
277,Torraye Braggs,2004,2005,F,6-8	,245,"May 15, 1976",Xavier University
278,A.J. Bramlett,2000,2000,C,6-10	,227,"January 10, 1977",University of Arizona
279,Adrian Branch,1987,1990,F-G,6-7	,185,"November 17, 1963",University of Maryland
280,Elton Brand,2000,2016,F,6-8	,275,"March 11, 1979",Duke University
281,Terrell Brandon,1992,2002,G,5-11	,180,"May 20, 1970",University of Oregon
282,Bob Brannum,1950,1955,F-C,6-5	,215,"May 28, 1925",Michigan State University
283,Brad Branson,1982,1983,C-F,6-10	,220,"September 24, 1958",Southern Methodist University
284,Jesse Branson,1966,1968,F,6-7	,195,"January 7, 1942",Elon University
285,Jim Brasco,1953,1953,G,6-1	,170,"February 3, 1931",New York University
286,Mike Bratz,1978,1986,G,6-2	,185,"October 17, 1955",Stanford University
287,Carl Braun,1948,1962,G-F,6-5	,180,"September 25, 1927",Colgate University
288,Tim Breaux,1995,1998,F,6-7	,215,"September 19, 1970",University of Wyoming
289,J.R. Bremer,2003,2004,G,6-2	,185,"September 19, 1980",St. Bonaventure University
290,Pete Brennan,1959,1959,F,6-6	,205,"September 23, 1936",University of North Carolina
291,Tom Brennan,1955,1955,F,6-3	,195,"August 6, 1930",Villanova University
292,Randy Breuer,1984,1994,C,7-3	,230,"October 11, 1960",University of Minnesota
293,Corey Brewer,2008,2018,F-G,6-9	,186,"March 5, 1986",University of Florida
294,Jamison Brewer,2002,2005,G,6-4	,184,"November 19, 1980",Auburn University
295,Jim Brewer,1974,1982,F-C,6-9	,210,"December 3, 1951",University of Minnesota
296,Ron Brewer,1979,1986,G,6-4	,180,"September 16, 1955",University of Arkansas
297,Ronnie Brewer,2007,2014,G-F,6-7	,220,"March 20, 1985",University of Arkansas
298,Primoz Brezec,2002,2010,C,7-2	,252,"October 2, 1979",
299,Frankie Brian,1950,1956,G,6-1	,180,"May 1, 1923",Louisiana State University
300,Frank Brickowski,1985,1997,F-C,6-9	,240,"August 14, 1959",Pennsylvania State University
301,Junior Bridgeman,1976,1987,F-G,6-5	,210,"September 17, 1953",University of Louisville
302,Bill Bridges,1963,1975,F-C,6-6	,228,"April 4, 1939",University of Kansas
303,Al Brightman,1947,1947,F,6-2	,195,"September 22, 1923",University of Charleston
304,Aud Brindley,1947,1947,F,6-4	,175,"December 31, 1923",Dartmouth College
305,John Brisker,1970,1975,F-G,6-5	,210,"June 15, 1947",University of Toledo
306,Allan Bristow,1974,1983,F-G,6-7	,210,"August 23, 1951",Virginia Polytechnic Institute and State University
307,Tyrone Britt,1968,1968,G,6-4	,190,"April 18, 1944",Johnson C. Smith University
308,Wayman Britt,1978,1978,G,6-2	,185,"August 31, 1952",University of Michigan
309,Mike Brittain,1986,1987,C,7-0	,235,"June 21, 1963",University of South Carolina
310,Dave Britton,1981,1981,G,6-4	,180,"August 29, 1958",Texas A&M University
311,Jon Brockman,2010,2012,F,6-7	,255,"March 20, 1987",University of Washington
312,Jim Brogan,1982,1983,G,6-4	,185,"February 24, 1958",West Virginia Wesleyan College
313,Malcolm Brogdon,2017,2018,G,6-5	,215,"December 11, 1992",University of Virginia
314,Gary Brokaw,1975,1978,G,6-4	,178,"January 11, 1954",University of Notre Dame
315,Price Brookfield,1949,1950,F-G,6-4	,185,"May 11, 1920",West Texas A&M University
316,Clarence Brookins,1971,1971,F,6-4	,190,,Temple University
317,Aaron Brooks,2008,2018,G,6-0	,161,"January 14, 1985",University of Oregon
318,Dillon Brooks,2018,2018,F-G,6-6	,220,"January 22, 1996",University of Oregon
319,Kevin Brooks,1992,1994,F,6-6	,200,"October 12, 1969",University of Louisiana at Lafayette
320,MarShon Brooks,2012,2018,G-F,6-5	,200,"January 26, 1989",Providence College
321,Michael Brooks,1981,1988,F,6-7	,220,"August 17, 1958",La Salle University
322,Scott Brooks,1989,1998,G,5-11	,165,"July 31, 1965","Texas Christian University, University of California, Irvine"
323,Andre Brown,2007,2009,F,6-9	,245,"May 12, 1981",DePaul University
324,Anthony Brown,2016,2018,F-G,6-7	,210,"October 10, 1992",Stanford University
