,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
113,Tharon Mayes,1992,1992,G,6-3	,175.0,"September 9, 1968",Florida State University
114,Bill Mayfield,1981,1981,F,6-7	,205.0,"October 17, 1957",University of Iowa
115,Ken Mayfield,1976,1976,G,6-2	,185.0,"May 11, 1948",Tuskegee University
116,Eric Maynor,2010,2014,G,6-3	,175.0,"June 11, 1987",Virginia Commonwealth University
117,O.J. Mayo,2009,2016,G,6-5	,210.0,"November 5, 1987",University of Southern California
118,Travis Mays,1991,1993,G,6-2	,190.0,"June 19, 1968",University of Texas at Austin
119,Matt Mazza,1950,1950,F,6-3	,210.0,"September 23, 1923",Michigan State University
120,Luc Mbah a Moute,2009,2018,F,6-8	,230.0,"September 9, 1986","University of California, Los Angeles"
121,Bob McAdoo*,1973,1986,C-F,6-9	,210.0,"September 25, 1951",University of North Carolina
122,James Michael McAdoo,2015,2018,F,6-9	,230.0,"January 4, 1993",University of North Carolina
123,Ken McBride,1955,1955,G-F,6-3	,190.0,,University of Maryland Eastern Shore
124,Ray McCallum,2014,2016,G,6-3	,190.0,"June 12, 1991",University of Detroit Mercy
125,Bob McCann,1990,1998,F,6-6	,244.0,"April 22, 1964","Upsala College, Morehead State University"
126,Brendan McCann,1958,1960,G,6-2	,178.0,"July 5, 1935",St. Bonaventure University
127,Mel McCants,1990,1990,F,6-8	,240.0,"August 19, 1967",Purdue University
128,Rashad McCants,2006,2009,G,6-4	,207.0,"September 25, 1984",University of North Carolina
129,Mike McCarron,1947,1950,G,5-11	,180.0,"March 2, 1922",Seton Hall University
130,Andre McCarter,1977,1981,G,6-3	,190.0,"August 25, 1953","University of California, Los Angeles"
131,Willie McCarter,1970,1972,G,6-3	,175.0,"July 26, 1946",Drake University
132,Johnny McCarthy,1957,1964,G,6-1	,185.0,"April 25, 1934",Canisius College
133,Howie McCarty,1947,1947,F-G,6-2	,190.0,,Wayne State University
134,Kelly McCarty,1999,1999,G-F,6-7	,200.0,"August 24, 1975",University of Southern Mississippi
135,Walter McCarty,1997,2006,F,6-10	,230.0,"February 1, 1974",University of Kentucky
136,Amal McCaskill,1997,2004,F-C,6-11	,235.0,"October 28, 1973",Marquette University
137,Patrick McCaw,2017,2018,G,6-7	,185.0,"October 25, 1995","University of Nevada, Las Vegas"
138,Dwayne McClain,1986,1986,G,6-6	,185.0,"February 7, 1963",Villanova University
139,Ted McClain,1972,1979,G,6-1	,180.0,"August 30, 1946",Tennessee State University
140,Dan McClintock,2001,2001,C,7-0	,270.0,"April 19, 1977",Northern Arizona University
141,Jack McCloskey,1953,1953,G,6-2	,190.0,"September 19, 1925",University of Pennsylvania
142,George McCloud,1990,2002,G-F,6-6	,205.0,"May 27, 1967",Florida State University
143,CJ McCollum,2014,2018,G,6-3	,190.0,"September 19, 1991",Lehigh University
144,John McConathy,1952,1952,F,6-5	,195.0,"April 9, 1930",Northwestern State University
145,Bucky McConnell,1953,1953,G,5-10	,170.0,"July 1, 1928",Marshall University
146,T.J. McConnell,2016,2018,G,6-2	,200.0,"March 25, 1992","Duquesne University, University of Arizona"
147,Keith McCord,1981,1981,G,6-7	,210.0,"June 22, 1957","University of Alabama, University of Alabama at Birmingham"
148,Tim McCormick,1985,1992,C,6-11	,240.0,"March 10, 1962",University of Michigan
149,Jelani McCoy,1999,2008,C,6-10	,245.0,"December 6, 1977","University of California, Los Angeles"
150,Paul McCracken,1973,1977,G,6-4	,180.0,"September 11, 1950","California State University, Northridge"
151,Chris McCray,2007,2007,G,6-5	,192.0,"May 27, 1984",University of Maryland
152,Rodney McCray,1984,1993,F-G,6-7	,220.0,"August 29, 1961",University of Louisville
153,Scooter McCray,1984,1987,F-G,6-9	,215.0,"February 8, 1960",University of Louisville
154,Erik McCree,2018,2018,F,6-8	,225.0,"December 20, 1993",Louisiana Tech University
155,Chris McCullough,2016,2018,F,6-11	,200.0,"February 5, 1995",Syracuse University
156,John McCullough,1982,1982,G,6-4	,190.0,"October 5, 1956",University of Oklahoma
157,Clint McDaniel,1996,1996,G,6-4	,180.0,"February 26, 1972",University of Arkansas
158,Xavier McDaniel,1986,1998,F,6-7	,205.0,"June 4, 1963",Wichita State University
159,Jim McDaniels,1972,1978,C-F,6-11	,228.0,"April 2, 1948",Western Kentucky University
160,K.J. McDaniels,2015,2017,G-F,6-6	,205.0,"February 9, 1993",Clemson University
161,Doug McDermott,2015,2018,F,6-8	,225.0,"January 3, 1992",Creighton University
162,Ben McDonald,1986,1989,F,6-8	,210.0,"July 20, 1962","University of California, Irvine"
163,Glenn McDonald,1975,1977,F-G,6-6	,190.0,"March 18, 1952","California State University, Long Beach"
164,Michael McDonald,1998,1998,C,6-10	,232.0,"February 13, 1969","Utah Valley State College, University of New Orleans"
165,Roderick McDonald,1971,1973,F,6-6	,205.0,"April 9, 1945",Whitworth
166,Hank McDowell,1982,1987,F-C,6-9	,215.0,"November 13, 1959",University of Memphis
167,Antonio McDyess,1996,2011,F-C,6-9	,220.0,"September 7, 1974",University of Alabama
168,Jim McElroy,1976,1982,G,6-3	,190.0,"October 4, 1953",Central Michigan University
169,Patrick McFarland,1974,1976,F-G,6-5	,185.0,"December 7, 1951",Saint Joseph's University
170,Ivan McFarlin,2007,2007,F,6-8	,240.0,"April 26, 1982",Oklahoma State University
171,Mel McGaha,1949,1949,G,6-1	,190.0,"September 26, 1926",University of Arkansas
172,Mitch McGary,2015,2016,F-C,6-10	,255.0,"June 6, 1992",University of Michigan
173,JaVale McGee,2009,2018,C,7-0	,270.0,"January 19, 1988","University of Nevada, Reno"
174,Mike McGee,1982,1990,G-F,6-5	,190.0,"July 29, 1959",University of Michigan
175,Bill McGill,1963,1970,C-F,6-9	,225.0,"September 16, 1939",University of Utah
176,George McGinnis*,1972,1982,F-C,6-8	,235.0,"August 12, 1950",Indiana University
177,Jon McGlocklin,1966,1976,G-F,6-5	,205.0,"June 10, 1943",Indiana University
178,Tracy McGrady*,1998,2012,F-G,6-8	,210.0,"May 24, 1979",
179,Gil McGregor,1972,1972,F,6-8	,240.0,"June 14, 1949",Wake Forest University
180,Elton McGriff,1968,1969,C,6-9	,225.0,"August 21, 1942",Creighton University
181,Rodney McGruder,2017,2018,G,6-4	,205.0,"July 29, 1991",Kansas State University
182,Alfred McGuire*,1952,1955,G-F,6-2	,180.0,"September 7, 1928",St. John's University
183,Allie McGuire,1974,1974,G,6-3	,175.0,"July 10, 1951",Marquette University
184,Dick McGuire*,1950,1960,G,6-0	,180.0,"January 25, 1926",St. John's University
185,Dominic McGuire,2008,2013,F,6-9	,220.0,"October 20, 1985","University of California, California State University, Fresno"
186,Kevin McHale*,1981,1993,F-C,6-10	,210.0,"December 19, 1957",University of Minnesota
187,Maurice McHartley,1968,1970,G-F,6-3	,185.0,"August 1, 1942",North Carolina Agricultural and Technical State University
188,Jim McIlvaine,1995,2001,C,7-1	,240.0,"July 30, 1972",Marquette University
189,Jeff McInnis,1997,2008,G,6-4	,190.0,"October 22, 1974",University of North Carolina
190,Kenny McIntosh,1972,1975,F,6-7	,225.0,"January 21, 1949",Eastern Michigan University
191,Bob McIntyre,1968,1970,F,6-6	,215.0,"January 23, 1944",St. John's University
192,Jerry McKee,1970,1970,G,6-3	,190.0,"August 4, 1946",Ohio University
193,Kevin McKenna,1982,1988,G-F,6-5	,195.0,"January 8, 1959",Creighton University
194,Forrest McKenzie,1987,1987,F,6-7	,200.0,"February 16, 1963",Loyola Marymount University
195,Stan McKenzie,1968,1974,F-G,6-5	,195.0,"October 6, 1944",New York University
196,Derrick McKey,1988,2002,F-C,6-9	,205.0,"October 10, 1966",University of Alabama
197,Aaron McKie,1995,2007,G,6-5	,209.0,"October 2, 1972",Temple University
198,Billy McKinney,1979,1986,G,6-0	,160.0,"June 5, 1955",Northwestern University
199,Bones McKinney,1947,1952,F-C,6-6	,185.0,"January 1, 1919",University of North Carolina
200,Carlton McKinney,1990,1992,G,6-4	,190.0,"October 21, 1964","University of Tulsa, Southern Methodist University"
201,Trey McKinney-Jones,2018,2018,G,6-5	,214.0,"August 27, 1990",University of Miami
202,Alfonzo McKinnie,2018,2018,F,6-8	,215.0,"September 17, 1992",University of Wisconsin-Green Bay
203,Ben McLemore,2014,2018,G,6-5	,195.0,"February 11, 1993",University of Kansas
204,McCoy McLemore,1965,1972,F-C,6-7	,230.0,"April 3, 1942",Drake University
205,George McLeod,1953,1953,F,6-5	,200.0,"January 3, 1931",Texas Christian University
206,Keith McLeod,2004,2007,G,6-2	,188.0,"November 5, 1979",Bowling Green State University
207,Roshown McLeod,1999,2001,F,6-8	,221.0,"November 17, 1975","St. John's University, Duke University"
208,Jack McMahon,1953,1960,G,6-1	,185.0,"December 3, 1928",St. John's University
209,Nate McMillan,1987,1998,G-F,6-5	,195.0,"August 3, 1964",North Carolina State University
210,Tom McMillen,1976,1986,F-C,6-11	,215.0,"May 26, 1952",University of Maryland
211,Jim McMillian,1971,1979,F,6-5	,215.0,"March 11, 1948",Columbia University
212,Shellie McMillon,1959,1962,F,6-5	,205.0,"March 11, 1936",Bradley University
213,Mal McMullen,1950,1951,F-C,6-5	,210.0,"August 23, 1927",Xavier University
214,Chet McNabb,1948,1948,F,6-2	,200.0,"September 19, 1920",Arizona State University
215,Mark McNamara,1983,1991,C-F,6-11	,235.0,"June 8, 1959","Santa Clara University, University of California"
216,Joe McNamee,1951,1952,F-C,6-6	,210.0,"September 24, 1926",University of San Francisco
217,Jerel McNeal,2015,2015,G,6-3	,200.0,"June 1, 1987",Marquette University
218,Chris McNealy,1986,1988,F,6-7	,210.0,"July 15, 1961",San Jose State University
219,Bob McNeill,1961,1962,G,6-1	,170.0,"October 22, 1938",Saint Joseph's University
220,Larry McNeill,1974,1979,F-C,6-9	,195.0,"January 31, 1951",Marquette University
221,Carl McNulty,1955,1955,G,6-3	,185.0,"February 14, 1930",Purdue University
222,Paul McPherson,2001,2001,G,6-4	,210.0,"July 3, 1978",DePaul University
223,Roy McPipe,1975,1975,G,6-3	,205.0,"May 5, 1950","Montana State University, Billings"
224,Cozell McQueen,1987,1987,F,6-11	,235.0,"January 18, 1962",North Carolina State University
225,Jordan McRae,2016,2017,G,6-6	,185.0,"March 28, 1991",University of Tennessee
226,Thales McReynolds,1966,1966,G,6-3	,185.0,"June 8, 1943",Miles College
227,Josh McRoberts,2008,2018,F,6-10	,240.0,"February 28, 1987",Duke University
228,Eric McWilliams,1973,1973,F,6-8	,200.0,"April 18, 1950","California State University, Long Beach"
229,George Mearns,1947,1948,F,6-3	,175.0,"April 18, 1922",University of Rhode Island
230,Stanislav Medvedenko,2001,2007,F,6-10	,250.0,"April 4, 1979",
231,Darnell Mee,1994,1995,G,6-5	,175.0,"February 11, 1971",Western Kentucky University
232,Jodie Meeks,2010,2018,G,6-4	,210.0,"August 21, 1987",University of Kentucky
233,Cliff Meely,1972,1976,F-C,6-8	,215.0,"July 10, 1947",University of Colorado
234,Scott Meents,1990,1991,F,6-10	,225.0,"January 4, 1964",University of Illinois at Urbana-Champaign
235,Dick Mehen,1950,1952,F-C,6-5	,195.0,"May 20, 1922",University of Tennessee
236,Monk Meineke,1953,1958,F-C,6-7	,208.0,"October 30, 1930",University of Dayton
237,Carl Meinhold,1948,1949,G-F,6-2	,185.0,"March 29, 1926",Long Island University
238,Salah Mejri,2016,2018,C,7-1	,245.0,"June 15, 1986",
239,Gal Mekel,2014,2015,G,6-3	,191.0,"March 4, 1988",Wichita State University
240,Bill Melchionni,1967,1976,G,6-1	,165.0,"October 19, 1944",Villanova University
241,Gary Melchionni,1974,1975,G,6-2	,185.0,"January 19, 1951",Duke University
242,Fab Melo,2013,2013,C,7-0	,255.0,"June 20, 1990",Syracuse University
243,Ed Melvin,1947,1947,G,5-9	,170.0,"February 13, 1916",Duquesne University
244,Dean Meminger,1972,1977,G,6-0	,175.0,"May 13, 1948",Marquette University
245,Chuck Mencel,1956,1957,G,6-0	,168.0,"April 21, 1933",University of Minnesota
246,John Mengelt,1972,1981,G,6-2	,195.0,"October 16, 1949",Auburn University
247,Ken Menke,1950,1950,G,6-0	,168.0,"October 2, 1922",University of Illinois at Urbana-Champaign
248,Pops Mensah-Bonsu,2007,2011,F,6-9	,240.0,"September 7, 1983",George Washington University
249,Dewitt Menyard,1968,1968,C,6-10	,210.0,"May 24, 1944",University of Utah
250,Ron Mercer,1998,2005,G-F,6-7	,210.0,"May 18, 1976",University of Kentucky
251,Joe Meriweather,1976,1985,C-F,6-10	,215.0,"October 26, 1953",Southern Illinois University
252,Porter Meriwether,1963,1963,G,6-2	,180.0,"March 16, 1940",Tennessee State University
253,Tom Meschery,1962,1971,F,6-6	,215.0,"October 26, 1938",Saint Mary's College of California
254,Bill Meyer,1968,1968,G,6-3	,195.0,"August 30, 1943",Hiram College
255,Loren Meyer,1996,1999,C,6-10	,257.0,"December 30, 1972",Iowa State University
256,Dave Meyers,1976,1980,F-C,6-8	,215.0,"April 21, 1953","University of California, Los Angeles"
257,Stan Miasek,1947,1953,C-F,6-5	,210.0,"September 19, 1923",
258,Larry Micheaux,1984,1985,F,6-9	,220.0,"March 24, 1960",University of Houston
259,Jordan Mickey,2016,2018,F,6-8	,235.0,"July 9, 1994",Louisiana State University
260,Khris Middleton,2013,2018,F-G,6-8	,234.0,"August 12, 1991",Texas A&M University
261,Red Mihalik,1947,1947,G,6-0	,180.0,"September 22, 1916",
262,Chris Mihm,2001,2009,C,7-0	,265.0,"July 16, 1979",University of Texas at Austin
263,Ed Mikan,1949,1954,C-F,6-8	,230.0,"October 20, 1925",DePaul University
264,George Mikan*,1949,1956,C,6-10	,245.0,"June 18, 1924",DePaul University
265,Larry Mikan,1971,1971,F,6-7	,210.0,"April 8, 1948",University of Minnesota
266,Vern Mikkelsen*,1950,1959,F-C,6-7	,230.0,"October 21, 1928",Hamline University
267,Al Miksis,1950,1950,C,6-7	,210.0,"February 2, 1928",Western Illinois University
268,Aaron Miles,2006,2006,G,6-1	,175.0,"April 13, 1983",University of Kansas
269,C.J. Miles,2006,2018,G-F,6-6	,225.0,"April 18, 1987",
270,Darius Miles,2001,2009,F,6-9	,210.0,"October 9, 1981",
271,Eddie Miles,1964,1972,G-F,6-4	,195.0,"July 5, 1940",Seattle University
272,Marko Milic,1998,1999,G-F,6-6	,235.0,"May 7, 1977",
273,Darko Milicic,2004,2013,F-C,7-0	,250.0,"June 20, 1985",
274,Nat Militzok,1947,1947,F,6-3	,195.0,"May 3, 1923",Cornell University
275,Andre Miller,2000,2016,G,6-3	,200.0,"March 19, 1976",University of Utah
276,Anthony Miller,1995,2005,F,6-9	,225.0,"October 22, 1971",Michigan State University
277,Bill Miller,1949,1949,F,6-3	,190.0,"November 24, 1924",University of North Carolina
278,Bob Miller,1984,1984,F,6-10	,230.0,"July 9, 1956",University of Cincinnati
279,Brad Miller,1999,2012,C,6-11	,244.0,"April 12, 1976",Purdue University
280,Darius Miller,2013,2018,F,6-8	,235.0,"March 21, 1990",University of Kentucky
281,Dick Miller,1981,1981,F,6-6	,215.0,"April 26, 1958",University of Toledo
282,Eddie Miller,1953,1954,C-F,6-8	,225.0,"June 18, 1931",Syracuse University
283,Harry Miller,1947,1947,C-F,6-4	,230.0,"July 28, 1923",University of North Carolina
284,Jay Miller,1968,1971,F,6-5	,205.0,"July 19, 1943",University of Notre Dame
285,Larry Miller,1969,1975,G-F,6-4	,190.0,"April 4, 1946",University of North Carolina
286,Malcolm Miller,2018,2018,F,6-7	,210.0,"March 6, 1993",College of the Holy Cross
287,Mike Miller,2001,2017,F-G,6-8	,218.0,"February 19, 1980",University of Florida
288,Oliver Miller,1993,2004,C,6-9	,280.0,"April 6, 1970",University of Arkansas
289,Quincy Miller,2013,2015,F,6-9	,210.0,"November 18, 1992",Baylor University
290,Reggie Miller*,1988,2005,G-F,6-7	,185.0,"August 24, 1965","University of California, Los Angeles"
291,Walt Miller,1947,1947,F,6-2	,190.0,"July 30, 1915",Duquesne University
292,Chris Mills,1994,2003,F,6-6	,215.0,"January 25, 1970","University of Kentucky, University of Arizona"
293,John Mills,1947,1947,C-F,6-8	,203.0,"September 7, 1919",Western Kentucky University
294,Patty Mills,2010,2018,G,6-0	,185.0,"August 11, 1988",Saint Mary's College of California
295,Terry Mills,1991,2001,F,6-10	,230.0,"December 21, 1967",University of Michigan
296,Elijah Millsap,2015,2017,G-F,6-6	,225.0,"August 12, 1987","University of Louisiana at Lafayette, University of Alabama at Birmingham"
297,Paul Millsap,2007,2018,F,6-8	,246.0,"February 10, 1985",Louisiana Tech University
298,Harold Miner,1993,1996,G,6-5	,210.0,"May 5, 1971",University of Southern California
299,Yao Ming*,2003,2011,C,7-6	,310.0,"September 12, 1980",
300,Dirk Minniefield,1986,1988,G,6-3	,180.0,"January 17, 1961",University of Kentucky
301,Dave Minor,1952,1953,G-F,6-2	,185.0,"February 23, 1922","University of California, Los Angeles"
302,Greg Minor,1995,1999,G-F,6-6	,210.0,"September 18, 1971",University of Louisville
303,Mark Minor,1973,1973,F,6-6	,215.0,"May 14, 1950",Ohio State University
304,Nikola Mirotic,2015,2018,F,6-10	,220.0,"February 11, 1991",
305,Wat Misaka,1948,1948,G,5-7	,150.0,"December 21, 1923",University of Utah
306,Jason Miskiri,2000,2000,G,6-2	,175.0,"August 19, 1975",George Mason University
307,Donovan Mitchell,2018,2018,G,6-3	,211.0,"September 7, 1996",University of Louisville
308,Leland Mitchell,1968,1968,G,6-4	,210.0,"February 22, 1941",Mississippi State University
309,Mike Mitchell,1979,1988,F,6-7	,215.0,"January 1, 1956",Auburn University
310,Murray Mitchell,1950,1950,C,6-6	,,"March 19, 1923",Sam Houston State University
